"","nodes","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","mean","sd"
"0.07-32-0.75",52,11,10,9,8,10,9,9,9,6,10,12,11,6,11,7,11,6,5,9,7,12,7,7,8,11,11,11,7,8,9,8.9,1.98876152763299
"0.16-28-0.85",22,8,10,10,9,9,10,9,10,9,9,10,7,10,11,7,9,10,10,10,9,10,7,10,8,9,9,11,11,8,11,9.33333333333333,1.15470053837925
"0.07-32-0",58,12,8,11,6,13,7,11,11,12,6,8,7,12,9,11,13,10,10,10,11,7,9,10,8,8,10,8,7,8,11,9.46666666666667,2.04658392134953
"0.09-32-0.85",29,10,8,10,10,9,8,9,10,9,9,8,9,11,10,13,8,11,9,11,9,8,10,12,8,10,9,8,10,11,10,9.56666666666667,1.27801930084539
"0.08-28-0.55",53,9,9,7,13,11,12,8,8,10,10,8,13,9,11,9,8,8,10,11,11,10,11,12,14,13,10,13,13,13,9,10.4333333333333,1.95965044971226
"0.06-32-0.25",60,9,9,13,14,6,14,14,14,14,11,12,12,11,9,13,10,10,13,14,11,11,13,9,11,12,10,12,12,13,9,11.5,2.02994819026802
"0.06-56-0.85",45,11,17,12,14,10,12,12,11,13,14,13,13,9,11,14,10,15,12,11,12,16,13,13,13,12,10,11,13,10,14,12.3666666666667,1.84733420857216
"0.07-36-0.85",32,13,13,12,13,13,14,11,10,13,14,11,12,19,12,11,12,13,11,10,15,12,12,13,12,14,14,11,14,11,12,12.5666666666667,1.75545127970055
"0.08-28-0.85",32,13,12,12,12,16,12,14,14,13,12,14,14,10,11,13,14,12,15,13,12,12,13,9,14,11,12,14,10,15,11,12.6333333333333,1.60781139169505
"0.08-32-0.4",61,14,14,14,11,13,12,13,13,11,15,14,12,13,15,12,15,15,15,11,13,12,15,15,14,10,15,11,13,13,14,13.2333333333333,1.50134039728029
