,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.09-32-0.85,0.09,32,0.85, 29,102, 53,1,0.314, 9.63,FALSE,0.09-32-0.85,0.2443,0.6915,0.928,0.00463,0.164,-0.186, 3.31e-01,0.00893,0.0372,0.0539,0.01503,0.000368
0.07-36-0.85,0.07,36,0.85, 32,108, 55,1,0.283,11.56,FALSE,0.07-36-0.85,0.2121,0.7199,0.919,0.00453,0.206,-0.192, 3.73e-01,0.00822,0.0313,0.0676,0.01503,0.000368
0.07-32-0.75,0.07,32,0.75, 52,165, 87,1,0.232,19.49,FALSE,0.07-32-0.75,0.2521,0.6894,0.943,0.00277,0.155,-0.184, 3.28e-01,0.00609,0.0280,0.0539,0.01503,0.000529
0.07-32-0,0.07,32,0.00, 58,176, 97,1,0.211,24.31,FALSE,0.07-32-0,0.2507,0.6949,0.947,0.00224,0.158,-0.185, 3.36e-01,0.00636,0.0275,0.0539,0.01503,0.000529
0.08-28-0.55,0.08,28,0.55, 53,168, 92,1,0.227,20.47,FALSE,0.08-28-0.55,0.2553,0.6891,0.944,0.00243,0.152,-0.183, 3.27e-01,0.00630,0.0270,0.0384,0.01503,0.000529
0.16-28-0.85,0.16,28,0.85, 22, 75, 42,1,0.367, 8.40,FALSE,0.16-28-0.85,0.2595,0.6574,0.918,0.00522,0.145,-0.182, 2.81e-01,0.00934,0.0486,0.0307,0.01503,0.000529
0.08-32-0.4,0.08,32,0.40, 61,187,104,1,0.205,23.17,FALSE,0.08-32-0.4,0.2564,0.6895,0.943,0.00289,0.152,-0.183, 3.28e-01,0.00747,0.0250,0.0539,0.02324,0.000380
0.06-32-0.25,0.06,32,0.25, 60,181,101,1,0.207,26.22,FALSE,0.06-32-0.25,0.2448,0.7037,0.947,0.00179,0.167,-0.186, 3.49e-01,0.00668,0.0246,0.0539,0.01503,0.000529
0.07-44-0.85,0.07,44,0.85, 39,145, 78,1,0.268,10.82,FALSE,0.07-44-0.85,0.2392,0.6803,0.918,0.00378,0.169,-0.187, 3.14e-01,0.00700,0.0298,0.0955,0.02765,0.000316
0.09-32-0.75,0.09,32,0.75, 56,178, 98,1,0.218,17.72,FALSE,0.09-32-0.75,0.2476,0.6853,0.931,0.00385,0.159,-0.186, 3.22e-01,0.00743,0.0240,0.0539,0.02509,0.000368
