,nodes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,mean,sd,bg
0.09-32-0.85,29,10.902,15.038,11.466,16.165,11.090, 3.947,16.165,14.850, 3.383,10.338,11.335,4.379, 2.444
0.07-36-0.85,32,17.481,21.429,17.669,23.308,18.233,18.421,14.850,23.120,14.286,18.233,18.703,2.926, 4.323
0.07-32-0.75,52, 0.752, 0.000, 0.188, 0.940, 0.940, 0.940, 0.188, 0.752, 0.752, 0.000, 0.545,0.380, 0.940
0.07-32-0,58, 0.188, 0.188, 0.000, 0.188, 0.752, 0.188, 0.000, 0.188, 0.188, 0.752, 0.263,0.255, 0.564
0.08-28-0.55,53, 1.880, 0.188, 0.752, 0.940, 0.940, 0.940, 0.940, 0.940, 1.504, 0.940, 0.996,0.421, 0.752
0.16-28-0.85,22,15.414,21.429,14.098,18.797,12.030, 9.962,19.925,25.376,17.857,19.925,17.481,4.401,19.737
0.08-32-0.4,61, 4.699, 3.383, 2.256, 2.256, 1.504, 4.511, 3.947, 3.008, 2.820, 1.880, 3.026,1.041, 0.188
0.06-32-0.25,60, 0.000, 0.188, 0.188, 0.000, 1.316, 0.940, 0.752, 0.940, 0.564, 1.316, 0.620,0.483, 0.000
0.07-44-0.85,39,11.090, 8.459,20.113,18.421, 8.647, 8.835,18.609,22.744,20.677,21.053,15.865,5.556,17.293
0.09-32-0.75,56, 9.023, 8.459,10.902,10.902,15.789, 2.632, 3.008, 6.391, 8.271,18.609, 9.398,4.777, 3.383
