,nodes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,mean,sd,bg
0.09-32-0.85,29,15.038, 8.459, 4.32, 7.71,10.150, 6.20, 3.571,16.541, 9.586,14.85, 3.008, 7.331,15.789,11.654,10.526, 3.759,12.782,15.038,14.098, 6.391, 1.880,12.782,12.782, 5.827, 7.895,11.466, 6.579,20.489,17.29, 8.08,10.063,4.711, 7.143
0.07-32-0.75,52, 0.000, 0.000, 0.00, 0.00, 0.000, 0.00, 1.128, 0.000, 0.000, 1.88, 1.128, 1.128, 0.000, 0.564, 0.000, 1.128, 0.000, 0.000, 0.000, 1.128, 1.128, 0.000, 0.000, 0.752, 0.564, 0.000, 0.564, 1.128, 0.00, 1.13, 0.445,0.557, 0.940
0.07-32-0,58, 1.128, 0.000, 0.00, 0.00, 0.376, 0.00, 0.564, 0.564, 0.564, 0.00, 0.000, 0.000, 0.564, 0.000, 0.000, 0.752, 0.564, 0.564, 0.000, 0.000, 0.000, 0.000, 0.564, 0.564, 0.376, 1.128, 0.000, 0.000, 0.00, 0.00, 0.276,0.349, 0.000
0.08-28-0.55,53, 0.564, 0.752, 0.00, 1.13, 1.128, 1.13, 0.564, 1.128, 0.564, 0.00, 1.128, 2.068, 1.128, 1.128, 1.128, 0.752, 1.128, 0.000, 0.564, 1.128, 1.128, 0.752, 0.940, 2.256, 1.128, 1.128, 1.128, 1.128, 1.13, 1.13, 0.965,0.480, 0.564
0.16-28-0.85,22,14.850,23.496,24.25,17.48,18.045,10.90,21.992,21.429,11.466,15.98,12.782, 5.827,18.233,24.624, 6.015,11.278,19.925,25.564,19.925,19.737,14.098, 9.586,12.970, 9.398,13.722,19.549,26.316,20.865,12.78,22.18,16.842,5.680,18.421
0.08-32-0.4,61, 2.256, 2.632, 3.57, 1.50, 0.752, 2.26, 1.880, 2.444, 1.128, 2.63, 2.632, 2.256, 1.880, 2.820, 1.128, 3.759, 2.444, 1.128, 0.564, 1.128, 3.759, 3.571, 2.444, 1.128, 1.880, 9.023, 2.820, 1.504, 3.57, 3.38, 2.462,1.524, 0.752
0.06-32-0.25,60, 0.564, 0.564, 2.26, 2.26, 0.000, 1.13, 1.128, 1.128, 0.752, 0.00, 0.752, 0.564, 1.128, 1.128, 0.752, 0.564, 0.564, 0.752, 0.564, 0.376, 0.564, 1.128, 1.128, 1.128, 0.564, 0.564, 0.000, 0.564, 1.13, 1.13, 0.827,0.515, 0.188
0.07-36-0.85,32,20.865,27.068,11.65,20.30,21.992,18.42,27.068, 6.391,22.932,26.50,12.782, 8.647,27.256,19.549,19.925,16.165,10.902,15.414,19.737,24.248,15.977,28.571,25.564,16.165,30.075,28.008,10.526,20.677,16.73,15.41,19.518,6.323,17.293
0.08-28-0.85,32,21.429,13.158,25.56,26.69,21.992,16.92,30.075,25.564,15.414,21.99,20.301,25.564,17.105,11.278,33.835,21.992,25.940,39.474,26.316,24.248,11.090,19.173,11.654,20.301,17.105,26.692,10.526,20.301,22.18,18.98,21.429,6.624,21.241
0.06-56-0.85,45, 4.887,10.526, 3.38, 6.58, 5.075, 2.26, 5.451, 2.256, 9.211, 3.76, 9.962, 8.083, 9.398, 6.955, 6.391, 3.008, 6.579,10.526, 3.008, 5.075, 3.571,12.782, 9.398, 9.586, 6.391, 2.444, 6.579,10.338, 6.02, 5.83, 6.510,2.865, 6.203
