tf,NES,p,FDR
RBFOX2,-4.41082126572473,1.02979295372146e-05,0.00236852379355935
HP1BP3,-3.66516675648732,0.000247177474097433,0.0142127047606024
PAX5,-3.81953772378091,0.000133702011446727,0.0142127047606024
USF2,-3.67633270574395,0.000236610897830848,0.0142127047606024
ASPSCR1,2.9223252044767,0.00347428572071742,0.0399542857882503
CUX1,-3.05230640548802,0.00227090163190028,0.0399542857882503
CUX2,-2.92899043859042,0.0034006488284503,0.0399542857882503
E2F1,-3.25055345800666,0.00115180611786962,0.0399542857882503
FOXA1,-3.13956506322137,0.00169198837070004,0.0399542857882503
FOXI1,-2.92435837149252,0.00345167110738312,0.0399542857882503
GSC,-2.96030189099803,0.00307337714739689,0.0399542857882503
NFE2L2,-3.0651489807508,0.00217561594198481,0.0399542857882503
NFIA,-3.05519529965803,0.00224914010748553,0.0399542857882503
PCK2,-2.9784331341753,0.00289726237853411,0.0399542857882503
POU3F2,2.98609278298972,0.00282566895766046,0.0399542857882503
RARA,-3.01019098970749,0.00261083460894256,0.0399542857882503
SMARCA1,-3.19211571507471,0.00141234739244718,0.0399542857882503
ZNF205,3.31096723826056,0.000929740930315617,0.0399542857882503
ZNF3,-3.01531976196846,0.00256708460922528,0.0399542857882503
ZNF410,2.96578165894894,0.00301914747959688,0.0399542857882503
CELF6,2.81162426167427,0.00492920469263242,0.0404898956894806
E2F2,-2.85552901204685,0.00429651972588583,0.0404898956894806
EIF5A2,-2.81923790384196,0.00481378254853135,0.0404898956894806
LARP1,-2.84535516616711,0.0044361928550312,0.0404898956894806
LAS1L,-2.86393224881645,0.0041841749647199,0.0404898956894806
MYBL1,2.86632705410981,0.00415264987841279,0.0404898956894806
PBX1,-2.83207310963358,0.0046247273186006,0.0404898956894806
ZCCHC17,2.86523656398757,0.00416697821052573,0.0404898956894806
KLF12,-2.79869283942939,0.00513099210328373,0.0406940753019054
TCF3,-2.76988478852835,0.00560761241761488,0.0429916952017141
HNF4A,-2.68029000272999,0.00735584021313352,0.0512679772430518
