tf,aggr.error
ELK3,0.00887488187802166
TFDP1,0.00453563881578793
TFAP2C,0.0043768877094353
FOXO4,0.00263399862365332
E2F5,0.00242302406932442
POLI,0.00237150914808915
NANOS1,0.00191921166233041
ELK1,0.00149804525023526
NFIC,0.00144114628691163
HSF4,0.00136761587391693
POU5F1B,0.00129537629437291
EHF,0.00122008335261428
PAXIP1,0.00118484084942726
MLXIPL,0.00115336668704962
ELF3,0.00104403616917741
ETV5,0.000992173601619977
NFYB,0.000940300056053542
TIMM8A,0.000897419425367485
ETV2,0.000880484811808788
ZNF740,0.0008795077785596
NAP1L1,0.000875871191293731
ZFX,0.000852367716645678
ELF5,0.000850819628271226
UGP2,0.000850682923224554
DNMT3A,0.000846627974276471
GPD1,0.000843998954450884
TMSB4XP8,0.000791571241076702
HLA.DRB1,0.000761409984234482
KLF1,0.00074711584923142
MAX..MYC,0.000734211246057857
ASCC1,0.000713438563531912
NFYC,0.000698452783461719
ZCCHC14,0.000691852929760695
IRF8,0.000690597185268019
E2F1,0.000662991475878953
IRF7,0.000659072559385159
NFATC4,0.000650941348643395
MYBL2,0.000638995906568805
ETS2,0.000636856831064011
ZBTB33,0.000631674369696495
MIEF1,0.00062948292329911
ZNF435,0.000626922513004466
ACO1,0.000623393385546637
POU2F1,0.000623217076763923
ZBED1,0.000600482018385189
HSFY2,0.000592237115946373
NFYA,0.000557892824734973
USF1,0.00053724075158986
SOX10,0.000533332031407931
STAT3,0.000529118752793779
SOX6,0.000528659567855666
MLX,0.000521560751631797
RFXANK,0.000517643357658124
ILF2,0.000513778892599026
E2F8,0.000508347942818877
TGIF1,0.000496458244482999
SSX2,0.000455938833767722
TOB2,0.000423944263472428
DTL,0.000423284994209572
ZNF75A,0.000416828784608609
HSPA5,0.000412801329249181
MTF1,0.000411611379878998
ASAP3,0.00040690196598245
ARNT..HIF1A,0.000405917606442561
HIST1H2BN,0.000401207504150491
FOXJ1,0.000391155017432895
TP63,0.000380318688013639
BHLHE40,0.000378817346352995
EBF1,0.000368029714239091
ZFP740,0.000367105199494911
RELA,0.000362295738952264
PRDX5,0.000353662179097054
GLI2,0.000345691799774348
AGGF1,0.000345293524220398
POU3F2,0.000341434044150293
MSRA,0.000340740833373446
CYB5R1,0.000337996664215539
ZNF354C,0.000330782071368109
H1FX,0.000329958092615705
NFE2L1,0.00032920606650064
HIC2,0.000322915930705687
RAB7A,0.000316559495627934
E2F4,0.000316202811251682
RFX1,0.000308785437801952
TAL1..TCF3,0.000307913988148716
HLF,0.000301391110843992
GTF2A1,0.000300945145609357
HINFP,0.000300394398556333
NR5A2,0.000294140085156984
ARNT2,0.00029206658156525
LUZP1,0.000288903246406818
THRB,0.000286842271153168
MYBL1,0.000286366137812291
ETV3,0.000285885268647313
ETV6,0.000285466116040691
PSMA6,0.000285452053864249
FOXH1,0.00028531207201192
GATA3,0.000284499001936455
ZNF3,0.000276562776944707
HOXA9,0.000275047944915013
EZR,0.000274611252738
E2F6,0.000269814206109566
NMRAL1,0.000269143851928159
YY2,0.000263642545571367
ANXA1,0.000252979270667582
TAF7,0.000246993481342042
SMPX,0.000246726729332062
SOX17,0.00024362600954037
NME1,0.000242508454396844
TCFAP2A,0.000240743705378631
SCAND2P,0.00023904667294938
MEF2A,0.000230874290503329
TCEAL6,0.00023012244878293
ATF5,0.000229383000044728
PAX8,0.000227560058370084
GATA2,0.000220801774389674
CERS4,0.000219951795317521
RBFOX2,0.000218426127225519
HOXC13,0.000216569506885936
TPPP,0.000212504267880173
RBM22,0.00020928788343278
DHX36,0.000208841708975273
ESR2,0.000208702136538085
