tf,es,lens,pvals,z,qvals
RUNX1,0.579352707338556,44,6e-04,3.30905893933056,0.1872
MYC,0.373189117897637,830,0.0025,2.71510018510249,0.2756
RB1,0.534627190318133,45,0.004,2.63562114938759,0.2756
MCM4,0.719467749194789,10,0.0053,1.57146848413566,0.2756
SMAD5,0.713676089562127,11,0.0053,1.66671057888245,0.2756
SMAD9,0.713676089562127,11,0.0053,1.66671057888245,0.2756
GATA1,0.49882294561615,57,0.0096,2.37763234305773,0.3276
MCM2,0.686605717921331,11,0.0101,1.54327886767785,0.3276
DNMT1,0.547005023520763,31,0.0105,2.18223735120257,0.3276
TP53,0.39083938340677,361,0.0105,2.34258747080713,0.3276
MCM3,0.708075743086157,9,0.0135,1.36981670831659,0.340486956521739
MCM7,0.708075743086157,9,0.0135,1.36981670831659,0.340486956521739
MYBL2,0.716531009879987,8,0.0161,1.28085628229521,0.340486956521739
NR1H4,0.586253312494484,20,0.0187,1.83110096297904,0.340486956521739
SOS1,0.663726928382074,11,0.0199,1.36806338316265,0.340486956521739
SOS2,0.663726928382074,11,0.0199,1.36806338316265,0.340486956521739
MEF2C,0.636900673220937,13,0.0208,1.47872804300632,0.340486956521739
NR0B1,0.654498170438117,11,0.0219,1.38259533633941,0.340486956521739
TP73,0.591757499913584,19,0.0219,1.78920839417934,0.340486956521739
CRY1,0.657130985219509,11,0.0221,1.37988880777145,0.340486956521739
E2F4,0.390816980997337,276,0.0235,1.98404854385097,0.340486956521739
MYCN,0.490347248366787,47,0.0244,1.98752852166848,0.340486956521739
SMARCA4,0.68453099458372,9,0.0251,1.26127998676737,0.340486956521739
CTBP1,0.649700793215744,11,0.0269,1.32852705707742,0.3432
ATM,0.54156226575943,26,0.0279,1.83785396929515,0.3432
PAX8,0.601439842405229,15,0.0286,1.48439704560669,0.3432
MCM5,0.656241547246046,10,0.0307,1.24916287730589,0.354755555555556
NR5A1,0.558848410129012,20,0.0384,1.58371722113249,0.41528275862069
MCM6,0.64520497950461,10,0.0386,1.1912244851143,0.41528275862069
ARNT,0.535399752312289,24,0.0418,1.61458245704408,0.43472
PAX5,0.543927145082225,22,0.0436,1.55585746275415,0.438812903225806
NFIC,0.412899338445528,119,0.0539,1.61847238449253,0.525525
APEX1,0.657449004559106,8,0.0557,1.02462474683382,0.526618181818182
E2F6,0.631783208583343,9,0.0634,1.00021374112808,0.566948571428571
ARNTL,0.568728222410353,15,0.0636,1.23202696740559,0.566948571428571
HDAC2,0.491685923961595,32,0.0676,1.46350236313875,0.576778378378378
NPM1,0.602600130567554,11,0.0684,1.07244884725099,0.576778378378378
E2F1,0.355912689171295,675,0.0815,1.39667875421621,0.669157894736842
MYB,0.386304485396545,191,0.0869,1.36766535544011,0.68016
SRF,0.489563075403366,29,0.0872,1.33754340707881,0.68016
IRF9,0.548618291540383,15,0.0917,1.08240493265642,0.697814634146341
STAT1,0.392364488392951,155,0.0955,1.30688758986167,0.700266666666667
GATA2,0.524075299778707,19,0.1,1.11113360908211,0.700266666666667
ESR2,0.459363704252716,41,0.1008,1.29578806425326,0.700266666666667
