tf	es	lens	pvals	z	qvals	zq
RUNX1	 0.5794	 44	0.0006	 3.309059	0.1872	0.1872
MYC	 0.3732	830	0.0025	 2.715100	0.2756	0.2756
RB1	 0.5346	 45	0.0040	 2.635621	0.2756	0.2756
MCM4	 0.7195	 10	0.0053	 1.571468	0.2756	0.2756
SMAD5	 0.7137	 11	0.0053	 1.666711	0.2756	0.2756
SMAD9	 0.7137	 11	0.0053	 1.666711	0.2756	0.2756
GATA1	 0.4988	 57	0.0096	 2.377632	0.3276	0.3276
MCM2	 0.6866	 11	0.0101	 1.543279	0.3276	0.3276
DNMT1	 0.5470	 31	0.0105	 2.182237	0.3276	0.3276
TP53	 0.3908	361	0.0105	 2.342587	0.3276	0.3276
MCM3	 0.7081	  9	0.0135	 1.369817	0.3405	0.3405
MCM7	 0.7081	  9	0.0135	 1.369817	0.3405	0.3405
MYBL2	 0.7165	  8	0.0161	 1.280856	0.3405	0.3405
NR1H4	 0.5863	 20	0.0187	 1.831101	0.3405	0.3405
SOS1	 0.6637	 11	0.0199	 1.368063	0.3405	0.3405
SOS2	 0.6637	 11	0.0199	 1.368063	0.3405	0.3405
MEF2C	 0.6369	 13	0.0208	 1.478728	0.3405	0.3405
NR0B1	 0.6545	 11	0.0219	 1.382595	0.3405	0.3405
TP73	 0.5918	 19	0.0219	 1.789208	0.3405	0.3405
CRY1	 0.6571	 11	0.0221	 1.379889	0.3405	0.3405
E2F4	 0.3908	276	0.0235	 1.984049	0.3405	0.3405
MYCN	 0.4903	 47	0.0244	 1.987529	0.3405	0.3405
SMARCA4	 0.6845	  9	0.0251	 1.261280	0.3405	0.3405
CTBP1	 0.6497	 11	0.0269	 1.328527	0.3432	0.3432
ATM	 0.5416	 26	0.0279	 1.837854	0.3432	0.3432
PAX8	 0.6014	 15	0.0286	 1.484397	0.3432	0.3432
MCM5	 0.6562	 10	0.0307	 1.249163	0.3548	0.3548
NR5A1	 0.5588	 20	0.0384	 1.583717	0.4153	0.4153
MCM6	 0.6452	 10	0.0386	 1.191224	0.4153	0.4153
ARNT	 0.5354	 24	0.0418	 1.614582	0.4347	0.4347
PAX5	 0.5439	 22	0.0436	 1.555857	0.4388	0.4388
NFIC	 0.4129	119	0.0539	 1.618472	0.5255	0.5255
APEX1	 0.6574	  8	0.0557	 1.024625	0.5266	0.5266
E2F6	 0.6318	  9	0.0634	 1.000214	0.5669	0.5669
ARNTL	 0.5687	 15	0.0636	 1.232027	0.5669	0.5669
HDAC2	 0.4917	 32	0.0676	 1.463502	0.5768	0.5768
NPM1	 0.6026	 11	0.0684	 1.072449	0.5768	0.5768
E2F1	 0.3559	675	0.0815	 1.396679	0.6692	0.6692
MYB	 0.3863	191	0.0869	 1.367665	0.6802	0.6802
SRF	 0.4896	 29	0.0872	 1.337543	0.6802	0.6802
IRF9	 0.5486	 15	0.0917	 1.082405	0.6978	0.6978
STAT1	 0.3924	155	0.0955	 1.306888	0.7003	0.7003
GATA2	 0.5241	 19	0.1000	 1.111134	0.7003	0.7003
ESR2	 0.4594	 41	0.1008	 1.295788	0.7003	0.7003
ATF6	 0.5380	 16	0.1010	 1.059527	0.7003	0.7003
NFE2L2	 0.5085	 21	0.1047	 1.112437	0.7101	0.7101
E2F2	 0.3823	189	0.1093	 1.245012	0.7176	0.7176
USF2	 0.4101	 90	0.1118	 1.247140	0.7176	0.7176
TSG101	 0.5715	 11	0.1127	 0.903407	0.7176	0.7176
BRCA1	 0.4188	 69	0.1247	 1.153780	0.7505	0.7505
TFDP1	 0.5199	 17	0.1256	 0.996989	0.7505	0.7505
HMGA1	 0.5192	 17	0.1257	 0.980044	0.7505	0.7505
AHR	 0.4909	 23	0.1292	 1.043682	0.7505	0.7505
CLOCK	 0.4938	 22	0.1314	 1.050727	0.7505	0.7505
IKBKG	 0.4534	 36	0.1323	 1.096699	0.7505	0.7505
SOX17	 0.5694	 10	0.1357	 0.802409	0.7560	0.7560
FOXM1	 0.5047	 18	0.1475	 0.946050	0.7774	0.7774
FOXO3	 0.4909	 21	0.1481	 0.966442	0.7774	0.7774
PER3	 0.5218	 15	0.1535	 0.856579	0.7774	0.7774
MSC	 0.5493	 11	0.1547	 0.769537	0.7774	0.7774
MTA1	 0.4777	 24	0.1552	 0.966964	0.7774	0.7774
NOTCH2	 0.4711	 26	0.1573	 0.952184	0.7774	0.7774
NOTCH4	 0.4711	 26	0.1573	 0.952184	0.7774	0.7774
NF1	 0.5216	 14	0.1680	 0.768403	0.7774	0.7774
GATA4	 0.4720	 24	0.1683	 0.902675	0.7774	0.7774
EIF2AK2	 0.5348	 12	0.1690	 0.751312	0.7774	0.7774
PGR	 0.4141	 62	0.1698	 0.953023	0.7774	0.7774
PARP1	 0.4598	 28	0.1702	 0.931565	0.7774	0.7774
RXRB	 0.4204	 54	0.1766	 0.935041	0.7774	0.7774
RXRG	 0.4204	 54	0.1766	 0.935041	0.7774	0.7774
REST	 0.4443	 35	0.1769	 0.927104	0.7774	0.7774
XBP1	 0.4780	 20	0.1974	 0.783767	0.8148	0.8148
ATF1	 0.3919	 92	0.1985	 0.853603	0.8148	0.8148
EGR1	 0.3762	145	0.2000	 0.828805	0.8148	0.8148
