,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxAvgDist,idxBoth,idxFlexibility,idxTrio
0.05-4-0.85,0.05,4,0.85,3,9,5,1,1,1,FALSE,0.05-4-0.85,0.3918,0.604,0.9958,0.0832747565656417,-0.113769555228575,0.207242534721288,0.018685483695388,0.303276253352952,0.004,0.00115180611786962,-100,1,496,497,1,498
0.06-32-0.25,0.06,32,0.25,60,181,101,1,0.207362885048835,26.2189265536723,FALSE,0.06-32-0.25,0.2448,0.7037,0.9485,0.166780008737911,-0.18621607072495,0.348961107692696,0.00668272680792433,0.0246317037942386,0.0539,0.0150266655378143,0.000529118752793779,2,33,35,177,212
0.08-32-0.4,0.08,32,0.4,61,187,104,1,0.205417607223476,23.1677595628415,FALSE,0.08-32-0.4,0.2564,0.6895,0.9459,0.151597441021403,-0.18316943934231,0.327863647621193,0.00747042039050871,0.0249953468489089,0.0539,0.0232355221300251,0.000380318688013639,3,166,169,165,334
0.06-32-0.4,0.06,32,0.4,59,180,100,1,0.210847975553858,25.239918176505,FALSE,0.06-32-0.4,0.2458,0.7,0.9458,0.164477409175257,-0.185974717580202,0.34343604151393,0.00638254531307944,0.0210905917099603,0.0539,0.0150266655378143,0.000529118752793779,4,14,18,256,274
0.07-32-0,0.07,32,0,58,176,97,1,0.210526315789474,24.3142770719903,FALSE,0.07-32-0,0.2507,0.6949,0.9456,0.158361244902123,-0.184733586999434,0.335852488495944,0.00635676379984394,0.0274568770446423,0.0539,0.0150266655378143,0.000529118752793779,5,11,16,129,145
0.08-28-0.55,0.08,28,0.55,53,168,92,1,0.2265625,20.47206095791,FALSE,0.08-28-0.55,0.2553,0.6891,0.9444,0.152407551935763,-0.183481248038403,0.327273559958287,0.0062969049415872,0.0269610325288713,0.0384,0.0150266655378143,0.000529118752793779,6,7,13,134,147
0.07-32-0.75,0.07,32,0.75,52,165,87,1,0.23224043715847,19.4898190045249,FALSE,0.07-32-0.75,0.2521,0.6894,0.9415,0.155393743101073,-0.184361304753515,0.327716103945311,0.00609254097816869,0.0279914996014251,0.0539,0.0150266655378143,0.000529118752793779,7,1,8,121,129
0.08-32-0.55,0.08,32,0.55,59,184,101,1,0.210485736314572,21.33284628872,FALSE,0.08-32-0.55,0.2422,0.6993,0.9415,0.167607470170812,-0.186824429327606,0.342392955589141,0.00730736103378742,0.0219207591322495,0.0539,0.0232355221300251,0.000380318688013639,8,123,131,238,369
0.07-48-0,0.07,48,0,92,301,181,1,0.171652954375467,23.4946249402771,FALSE,0.07-48-0,0.1867,0.7541,0.9408,0.24640022370353,-0.192604399357206,0.426117451983367,0.0068541450873765,0.0168108806609955,0.1118,0.0399285227251932,0.000285466116040691,9,54,63,407,470
0.07-52-0,0.07,52,0,100,378,226,1,0.172679045092838,22.5068686868687,FALSE,0.07-52-0,0.1821,0.7562,0.9383,0.252988683024122,-0.192401784385613,0.429407015178168,0.0062062966106954,0.018348226071126,0.1257,0.0572970059694907,0.000275047944915013,10,5,15,347,362
0.08-44-0.65,0.08,44,0.65,84,279,162,1,0.183196721311475,23.0738668961561,FALSE,0.08-44-0.65,0.1978,0.7403,0.9381,0.228250331663251,-0.192631821244984,0.404646566659304,0.00646348215915043,0.0202338821370356,0.1008,0.0399285227251932,0.000285466116040691,11,20,31,289,320
0.08-44-0.6,0.08,44,0.6,85,287,167,1,0.182293762575453,20.3109243697479,FALSE,0.08-44-0.6,0.1913,0.7463,0.9376,0.238125482182218,-0.192693665954961,0.413950404248299,0.0065462880895106,0.0183519047072231,0.1008,0.0399285227251932,0.000285466116040691,12,24,36,346,382
0.08-28-0.7,0.08,28,0.7,50,158,85,1,0.235023041474654,18.7208163265306,FALSE,0.08-28-0.7,0.2472,0.69,0.9372,0.160349747659965,-0.185629992030661,0.328601583507496,0.00636094287737252,0.0221504776834812,0.0384,0.0150266655378143,0.000529118752793779,13,12,25,229,254
0.08-44-0.7,0.08,44,0.7,80,272,156,1,0.187340696686491,21.0912974683544,FALSE,0.08-44-0.7,0.1958,0.7402,0.936,0.230739596719503,-0.1926739323795,0.404491913604542,0.00665553663439225,0.0160953911303177,0.1008,0.0399285227251932,0.000285466116040691,14,32,46,441,487
0.09-32-0.85,0.09,32,0.85,29,102,53,1,0.313513513513514,9.63177339901478,FALSE,0.09-32-0.85,0.2443,0.6915,0.9358,0.163663405274125,-0.186335216474325,0.330817564030582,0.00892981704678721,0.0371818481021731,0.0539,0.0150266655378143,0.000368029714239091,15,364,379,64,443
0.08-32-0.3,0.08,32,0.3,62,188,105,1,0.201923076923077,24.132469592808,FALSE,0.08-32-0.3,0.2522,0.6834,0.9356,0.153996812114867,-0.184334415150724,0.318890104270349,0.00741600999059477,0.0223667182039913,0.0539,0.0232355221300251,0.000380318688013639,16,149,165,222,387
0.07-48-0.75,0.07,48,0.75,81,277,160,1,0.188461538461538,16.6524691358025,FALSE,0.07-48-0.75,0.191,0.7436,0.9346,0.237817167438025,-0.192691245027997,0.409757684580852,0.00662128099857241,0.0185484032706524,0.1118,0.0399285227251932,0.000285466116040691,17,29,46,340,386
0.08-44-0.5,0.08,44,0.5,87,292,172,1,0.179034157832744,21.2658380112269,FALSE,0.08-44-0.5,0.1908,0.7429,0.9337,0.237925365542604,-0.192689369342185,0.408672282076424,0.00670162893018485,0.0163548140098338,0.1008,0.0399285227251932,0.000285466116040691,18,36,54,431,485
0.07-44-0,0.07,44,0,86,284,169,1,0.181257706535142,21.4757865937073,FALSE,0.07-44-0,0.1916,0.742,0.9336,0.236657741307113,-0.192695616416494,0.407277733832756,0.00678536068000317,0.0194430776644554,0.1008,0.0287463778034046,0.000316202811251682,19,45,64,316,380
0.09-32-0.75,0.09,32,0.75,56,178,98,1,0.218051118210863,17.7243506493507,FALSE,0.09-32-0.75,0.2476,0.6853,0.9329,0.159161311548408,-0.185530040735869,0.321679326581838,0.00743073915902829,0.0240042316867955,0.0539,0.0250894592014592,0.000368029714239091,20,155,175,189,364
0.08-36-0.3,0.08,36,0.3,70,226,130,1,0.181868743047831,18.1395445134576,FALSE,0.08-36-0.3,0.2058,0.7271,0.9329,0.215098732116711,-0.192263153217238,0.38434985963151,0.00726661073265368,0.0203571832796625,0.0676,0.0264514862575436,0.000345691799774348,21,113,134,282,416
0.08-40-0.7,0.08,40,0.7,70,232,132,1,0.193037974683544,19.9496894409938,FALSE,0.08-40-0.7,0.206,0.7268,0.9328,0.214787834125668,-0.192249900725106,0.383891339549404,0.006806918177062,0.0176907544501314,0.0872,0.0285977388220833,0.000316202811251682,22,47,69,369,438
0.09-32-0.7,0.09,32,0.7,57,181,100,1,0.212328767123288,18.6694862155388,FALSE,0.09-32-0.7,0.2439,0.6885,0.9324,0.163644427066655,-0.186429796374908,0.326388863856545,0.00755300394247832,0.0236751126729142,0.0539,0.0250894592014592,0.000368029714239091,23,180,203,197,400
0.08-40-0.6,0.08,40,0.6,75,247,143,1,0.187314172447968,19.1996396396396,FALSE,0.08-40-0.6,0.1922,0.7401,0.9323,0.235459636199375,-0.192698108887516,0.404337274059641,0.00686792392817474,0.0177614024290994,0.0872,0.0285977388220833,0.000316202811251682,24,57,81,367,448
0.07-36-0.85,0.07,36,0.85,32,108,55,1,0.283018867924528,11.5625,FALSE,0.07-36-0.85,0.2121,0.7199,0.932,0.205853049018352,-0.191753300552376,0.373379658824345,0.00821811458711669,0.0312901293376296,0.0676,0.0150266655378143,0.000368029714239091,25,307,332,91,423
0.05-48-0,0.05,48,0,88,286,172,1,0.164383561643836,26.1225182863114,FALSE,0.05-48-0,0.2074,0.7243,0.9317,0.212557686454531,-0.192151706907468,0.380075159362777,0.0068306241136561,0.0183571636835948,0.1118,0.0285977388220833,0.000368029714239091,26,49,75,345,420
0.09-28-0.45,0.09,28,0.45,55,173,96,1,0.223161453930685,19.6360269360269,FALSE,0.09-28-0.45,0.2484,0.6826,0.931,0.157979356556616,-0.185328200577044,0.3177172743633,0.00756901283556048,0.0228490167512473,0.0384,0.0195625049071276,0.000529118752793779,27,186,213,208,421
0.09-48-0.7,0.09,48,0.7,87,332,196,1,0.177219321148825,19.1232290831329,FALSE,0.09-48-0.7,0.2025,0.7284,0.9309,0.219612036166512,-0.192453616070874,0.386338209671906,0.00677867270736822,0.0201084647581511,0.1118,0.0850422872908485,0.000284499001936455,28,43,71,294,365
0.07-44-0.6,0.07,44,0.6,85,283,168,1,0.183520599250936,20.5060224089636,FALSE,0.07-44-0.6,0.1908,0.74,0.9308,0.237358025762695,-0.192689369342185,0.404182648026429,0.00683956188152479,0.0174496200700445,0.1008,0.0287463778034046,0.000316202811251682,29,52,81,379,460
0.07-44-0.75,0.07,44,0.75,76,264,151,1,0.198033707865169,14.6556140350877,FALSE,0.07-44-0.75,0.2039,0.7268,0.9307,0.217514204451954,-0.192379331197594,0.383891339549404,0.00660916394092161,0.0182525992934971,0.1008,0.0285977388220833,0.000316202811251682,30,27,57,349,406
0.06-48-0.65,0.06,48,0.65,88,296,178,1,0.175854037267081,20.5662225705329,FALSE,0.06-48-0.65,0.1854,0.7453,0.9307,0.245839850118648,-0.192558750255556,0.41239640427406,0.00689363560021928,0.0180694695239394,0.1118,0.033728913054116,0.000316202811251682,31,58,89,354,443
0.05-60-0.2,0.05,60,0.2,111,413,252,1,0.167232186136694,28.1288288288288,FALSE,0.05-60-0.2,0.1704,0.7602,0.9306,0.270473052357004,-0.191355706742383,0.435688969677355,0.00641934510067311,0.0157656741497422,0.1535,0.0572970059694907,0.000316202811251682,32,16,48,461,509
0.08-40-0.5,0.08,40,0.5,77,252,148,1,0.183526011560694,20.154989747095,FALSE,0.08-40-0.5,0.1878,0.7426,0.9304,0.24198676680529,-0.192635952779733,0.408207311449739,0.00696350253329943,0.0166030871302372,0.0872,0.0285977388220833,0.000316202811251682,33,68,101,416,517
0.05-52-0.7,0.05,52,0.7,89,327,198,1,0.183981233243968,19.5414964249234,FALSE,0.05-52-0.7,0.1734,0.7567,0.9301,0.265322627536414,-0.191698390419826,0.430191104678364,0.00678022026234163,0.0170901720805412,0.1257,0.0333049832035129,0.000341434044150293,34,44,78,395,473
0.05-60-0.55,0.05,60,0.55,110,412,251,1,0.167394468704512,27.147539616347,FALSE,0.05-60-0.55,0.1686,0.7615,0.9301,0.2734402523038,-0.191124802947301,0.437735141973225,0.0063385998073645,0.0151038048021053,0.1535,0.0572970059694907,0.000316202811251682,35,9,44,480,524
0.05-60-0.6,0.05,60,0.6,109,411,250,1,0.168046760837798,26.170998980632,FALSE,0.05-60-0.6,0.1787,0.751,0.9297,0.256479212885344,-0.192177498941047,0.42127212311007,0.00635386852673872,0.0147390355840073,0.1535,0.0572970059694907,0.000316202811251682,36,10,46,494,540
0.05-60-0,0.05,60,0,112,414,252,1,0.165507315903094,29.0987773487774,FALSE,0.05-60-0,0.1689,0.7605,0.9294,0.272798439792586,-0.191164615922098,0.436160966105907,0.0064394936672934,0.015661588474864,0.1535,0.0572970059694907,0.000316202811251682,37,17,54,463,517
0.08-40-0.3,0.08,40,0.3,78,253,149,1,0.181083650190114,21.1143856143856,FALSE,0.08-40-0.3,0.1948,0.7342,0.929,0.230910918851507,-0.192687340010917,0.395237519321859,0.00711449534929891,0.0195059381053578,0.0872,0.0285977388220833,0.000316202811251682,38,91,129,311,440
0.1-44-0.75,0.1,44,0.75,78,300,174,1,0.19304152637486,15.3488178488178,FALSE,0.1-44-0.75,0.2147,0.7142,0.9289,0.201758693935355,-0.191488012049303,0.364745951351019,0.00674722108652653,0.0206252839033174,0.1008,0.0572970059694907,0.000284499001936455,39,40,79,274,353
0.1-32-0.45,0.1,32,0.45,61,188,106,1,0.20479302832244,22.3745901639344,FALSE,0.1-32-0.45,0.2327,0.6958,0.9285,0.177442599263914,-0.188807670780355,0.337188050540719,0.00793452690842595,0.0224804707686182,0.0539,0.0250894592014592,0.000368029714239091,40,270,310,217,527
0.05-60-0.7,0.05,60,0.7,104,403,242,1,0.175115207373272,23.2352501867065,FALSE,0.05-60-0.7,0.1697,0.7586,0.9283,0.271249266565315,-0.191268181326329,0.433173656006574,0.00615561019072107,0.018625135091843,0.1535,0.0572970059694907,0.000316202811251682,43,2,45,339,384
0.09-32-0.45,0.09,32,0.45,61,192,108,1,0.202127659574468,21.3795081967213,FALSE,0.09-32-0.45,0.2406,0.6877,0.9283,0.167368924470309,-0.187184949910271,0.32521008249551,0.00777005065367489,0.0221466447599836,0.0539,0.0250894592014592,0.000368029714239091,41,226,267,230,497
0.06-44-0.55,0.06,44,0.55,85,286,172,1,0.183178325919935,20.4939775910364,FALSE,0.06-44-0.55,0.188,0.7403,0.9283,0.241349362113673,-0.192640996430701,0.404646566659304,0.00697868315566605,0.0161794476789124,0.1008,0.0287463778034046,0.000341434044150293,42,70,112,438,550
0.09-48-0.4,0.09,48,0.4,95,355,212,1,0.167927382753404,21.0101903695409,FALSE,0.09-48-0.4,0.2036,0.7246,0.9282,0.217621372475336,-0.192396060861914,0.380532645958935,0.00683696828849331,0.0174002078983409,0.1118,0.0850422872908485,0.00024362600954037,44,50,94,381,475
0.06-48-0.55,0.06,48,0.55,89,298,180,1,0.174045801526718,20.5726506639428,FALSE,0.06-48-0.55,0.1846,0.7435,0.9281,0.246702377067797,-0.192526131801046,0.409602586721473,0.00696124350355586,0.0165238632992938,0.1118,0.033728913054116,0.000316202811251682,45,67,112,419,531
0.07-52-0.75,0.07,52,0.75,87,349,203,1,0.189975990396158,15.5956963378776,FALSE,0.07-52-0.75,0.1788,0.7489,0.9277,0.256003907826169,-0.1921850129356,0.417997070646165,0.00632750424290487,0.0166937715927425,0.1257,0.0572970059694907,0.000284499001936455,46,8,54,413,467
0.07-44-0.7,0.07,44,0.7,81,276,162,1,0.187823834196891,18.5200617283951,FALSE,0.07-44-0.7,0.1912,0.7362,0.9274,0.236241726769904,-0.192692911289687,0.398316889010061,0.0069136835786547,0.0179629488557601,0.1008,0.0287463778034046,0.000316202811251682,47,62,109,356,465
0.12-44-0.4,0.12,44,0.4,89,328,194,1,0.168150346191889,18.0967824310521,FALSE,0.12-44-0.4,0.2083,0.719,0.9273,0.210689835414097,-0.19208358791409,0.372013432231675,0.00683930525663022,0.0194664746706369,0.1008,0.0843108865801963,0.000229383000044728,48,51,99,314,413
0.07-52-0.4,0.07,52,0.4,99,377,225,1,0.174250535331906,21.5330859616574,FALSE,0.07-52-0.4,0.1743,0.7526,0.9269,0.26331064322713,-0.191791033154872,0.42377134346817,0.00617498033745389,0.0175525388993678,0.1257,0.0572970059694907,0.000275047944915013,49,4,53,376,429
0.08-44-0.75,0.08,44,0.75,76,260,149,1,0.1978928080623,19.1149122807018,FALSE,0.08-44-0.75,0.1947,0.7316,0.9263,0.23074403291261,-0.192688398866888,0.391242485879572,0.00686024225367027,0.017776002446595,0.1008,0.0399285227251932,0.000285466116040691,51,55,106,364,470
0.09-36-0.75,0.09,36,0.75,61,206,116,1,0.20532319391635,14.1887978142076,FALSE,0.09-36-0.75,0.2089,0.7174,0.9263,0.209741299537542,-0.192036013863815,0.369587367501431,0.0078752488974953,0.0235109531772925,0.0676,0.0276536229926187,0.000362295738952264,50,253,303,200,503
0.05-44-0.55,0.05,44,0.55,82,265,160,1,0.173103769194974,25.0117434507678,FALSE,0.05-44-0.55,0.2048,0.7212,0.926,0.215650173461263,-0.192326496438627,0.375355083255926,0.00698736005750337,0.0180930007281521,0.1008,0.0264514862575436,0.000411611379878998,52,72,124,353,477
0.09-44-0.75,0.09,44,0.75,77,301,173,1,0.193186072631973,14.3737183868763,FALSE,0.09-44-0.75,0.2147,0.7111,0.9258,0.201491512574408,-0.191488012049303,0.360069501502247,0.00664393326718821,0.019966486674293,0.1,0.0572970059694907,0.000284499001936455,54,31,85,300,385
0.07-52-0.85,0.07,52,0.85,45,198,110,1,0.275771503611293,10.8424242424242,FALSE,0.07-52-0.85,0.2239,0.7019,0.9258,0.188881813015956,-0.190299011402287,0.346270801296778,0.00736034151042065,0.0186804580972121,0.1256,0.0572970059694907,0.000316202811251682,53,134,187,338,525
0.06-48-0.7,0.06,48,0.7,84,290,173,1,0.179928028788485,17.6200516351119,FALSE,0.06-48-0.7,0.1878,0.7378,0.9256,0.24134734335705,-0.192635952779733,0.400784297453606,0.00695832628896152,0.0175679723381149,0.1118,0.033728913054116,0.000316202811251682,55,66,121,375,496
0.07-48-0.65,0.07,48,0.65,90,298,178,1,0.175519630484988,22.516354556804,FALSE,0.07-48-0.65,0.1799,0.7457,0.9256,0.253952859577885,-0.192263982460797,0.413017843355506,0.00684333002380296,0.0170093158433251,0.1118,0.0399285227251932,0.000285466116040691,56,53,109,399,508
0.08-36-0.7,0.08,36,0.7,63,207,115,1,0.193548387096774,17.026113671275,FALSE,0.08-36-0.7,0.2085,0.7169,0.9254,0.210250543906329,-0.192067921682601,0.368829953708985,0.00711197080304745,0.0212805911691465,0.0676,0.0264514862575436,0.000345691799774348,57,90,147,251,398
0.05-52-0.2,0.05,52,0.2,96,337,208,1,0.174528301886792,24.4512061403509,FALSE,0.05-52-0.2,0.1767,0.7485,0.9252,0.259137053914005,-0.192015425627044,0.417373918270665,0.00679757371285173,0.0156121232701186,0.1257,0.0333049832035129,0.000341434044150293,58,46,104,465,569
0.05-60-0.85,0.05,60,0.85,53,230,127,1,0.263271939328277,9.33526850507983,FALSE,0.05-60-0.85,0.2268,0.6983,0.9251,0.184982730932959,-0.189845104171751,0.340904048514802,0.00644204907260808,0.0248672646931927,0.1481,0.0572970059694907,0.000316202811251682,59,18,77,170,247
0.1-44-0.7,0.1,44,0.7,81,309,181,1,0.186434659090909,16.350462962963,FALSE,0.1-44-0.7,0.2059,0.7189,0.9248,0.213965410442603,-0.192256551254806,0.371861698792188,0.00661936370520243,0.0205708095345094,0.1008,0.0572970059694907,0.000284499001936455,60,28,88,276,364
0.05-44-0,0.05,44,0,83,266,160,1,0.17032967032967,25.9729650308551,FALSE,0.05-44-0,0.2018,0.7227,0.9245,0.21994813367851,-0.192487133038563,0.377637330684855,0.00708979330721759,0.0176590471814132,0.1008,0.0264514862575436,0.000411611379878998,61,86,147,371,518
0.06-40-0.3,0.06,40,0.3,74,237,141,1,0.182154171066526,23.2223250647908,FALSE,0.06-40-0.3,0.1988,0.7256,0.9244,0.224399420864012,-0.192603169383121,0.382058498037469,0.00774120908597969,0.0181134380605619,0.0872,0.0264514862575436,0.000368029714239091,62,218,280,352,632
0.06-44-0.3,0.06,44,0.3,87,289,175,1,0.180119284294235,22.4375835338145,FALSE,0.06-44-0.3,0.1794,0.7449,0.9243,0.254636637034388,-0.192228923499171,0.411775179871278,0.00724687193751486,0.0179384108108872,0.1008,0.0287463778034046,0.000341434044150293,63,111,174,357,531
0.09-48-0.2,0.09,48,0.2,96,356,213,1,0.16636690647482,21.9584429824561,FALSE,0.09-48-0.2,0.2017,0.7225,0.9242,0.220077929063954,-0.192491723156848,0.37733285100547,0.00694274942622839,0.0171918467251128,0.1118,0.0850422872908485,0.00024362600954037,64,65,129,387,516
0.09-44-0.45,0.09,44,0.45,89,334,198,1,0.176182707993475,18.3868743615935,FALSE,0.09-44-0.45,0.2,0.724,0.924,0.222585685448816,-0.19256214950181,0.379617797024527,0.00674275476440056,0.0180057492333013,0.1008,0.0572970059694907,0.000284499001936455,65,39,104,355,459
0.05-56-0,0.05,56,0,104,360,221,1,0.165727170236753,25.5236183719193,FALSE,0.05-56-0,0.1716,0.7522,0.9238,0.267470953480857,-0.191499066673753,0.423146219201348,0.00639479685165804,0.0164396951099269,0.1292,0.0417359333423802,0.000316202811251682,66,15,81,427,508
0.07-40-0.7,0.07,40,0.7,71,240,141,1,0.188284518828452,16.4649899396378,FALSE,0.07-40-0.7,0.1885,0.7352,0.9237,0.240094728280857,-0.19265267520136,0.396776524078699,0.00737534884632675,0.0199110945294957,0.0872,0.0264514862575436,0.000345293524220398,69,138,207,304,511
0.07-48-0.6,0.07,48,0.6,91,300,180,1,0.17366628830874,22.5230769230769,FALSE,0.07-48-0.6,0.1707,0.753,0.9237,0.268975223072237,-0.191392336662617,0.424396680331335,0.00700443438664069,0.0171099212645424,0.1118,0.0399285227251932,0.000285466116040691,70,75,145,394,539
0.09-40-0.7,0.09,40,0.7,70,235,138,1,0.194210526315789,19.0267080745342,FALSE,0.09-40-0.7,0.203,0.7207,0.9237,0.218137713077281,-0.192428193408105,0.374595027081867,0.0076038617234003,0.0178388803595167,0.0872,0.033728913054116,0.000316202811251682,68,194,262,361,623
0.07-36-0.7,0.07,36,0.7,63,203,113,1,0.192256341789052,18.7140296979007,FALSE,0.07-36-0.7,0.2124,0.7113,0.9237,0.20461737059422,-0.191724309564008,0.360370800754709,0.00788822257585986,0.0191308738505807,0.0676,0.0250553139768422,0.000368029714239091,67,256,323,329,652
0.1-32-0.65,0.1,32,0.65,60,183,103,1,0.204996326230713,21.5754237288136,FALSE,0.1-32-0.65,0.2331,0.6904,0.9235,0.176725744011737,-0.188731878404383,0.329192193098726,0.00787126111667029,0.020190813305366,0.0539,0.0250894592014592,0.000368029714239091,71,252,323,292,615
0.05-44-0.7,0.05,44,0.7,76,257,152,1,0.184869739478958,20.1668421052632,FALSE,0.05-44-0.7,0.2007,0.7226,0.9233,0.22151069258165,-0.192534893451737,0.377485083925705,0.00716526602180924,0.0170362277039136,0.1008,0.0264514862575436,0.000411611379878998,72,95,167,398,565
0.05-56-0.2,0.05,56,0.2,103,359,221,1,0.167712492869367,24.5508280982296,FALSE,0.05-56-0.2,0.1668,0.7562,0.923,0.27553642217869,-0.190874681705291,0.429407015178168,0.00646847689919339,0.0158062247479638,0.1292,0.0417359333423802,0.000316202811251682,73,21,94,456,550
0.06-52-0.7,0.06,52,0.7,91,346,211,1,0.179856115107914,17.6112332112332,FALSE,0.06-52-0.7,0.1775,0.7451,0.9226,0.257600162972679,-0.192082957162637,0.412085765230634,0.00662970324803841,0.016787380296714,0.1257,0.0556721132650875,0.000286842271153168,74,30,104,409,513
0.07-56-0.6,0.07,56,0.6,104,400,239,1,0.17022344966106,21.4103808812547,FALSE,0.07-56-0.6,0.1709,0.7515,0.9224,0.268531063862089,-0.191416463640584,0.422052763634469,0.00659831004015329,0.0184709346869294,0.1357,0.0850422872908485,0.000229383000044728,75,26,101,342,443
0.05-40-0,0.05,40,0,75,233,138,1,0.175335120643432,26.46,FALSE,0.05-40-0,0.2093,0.713,0.9223,0.208974434901478,-0.192003340127854,0.362934113297205,0.0073760091924279,0.0214964608587287,0.0872,0.0232355221300251,0.000529118752793779,76,139,215,247,462
