,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance
0.05-4-0.85,0.05,4,0.85,3,9,5,1,1,1
0.05-4-0.75,0.05,4,0.75,6,14,8,1,0.5,3.06666666666667
0.05-4-0,0.05,4,0,6,14,8,1,0.5,3.06666666666667
0.05-8-0.75,0.05,8,0.75,11,20,12,1,0.214285714285714,7.56363636363636
0.05-8-0.65,0.05,8,0.65,12,22,14,1,0.236842105263158,7.73484848484848
0.05-8-0,0.05,8,0,12,22,14,1,0.236842105263158,7.73484848484848
0.05-12-0.85,0.05,12,0.85,11,36,25,1,0.505263157894737,3.53636363636364
0.05-12-0.8,0.05,12,0.8,14,41,30,1,0.403361344537815,6.25824175824176
0.05-12-0.75,0.05,12,0.75,20,52,39,1,0.316666666666667,10.1236842105263
0.05-12-0.65,0.05,12,0.65,21,54,41,1,0.295566502463054,11.0642857142857
0.05-12-0.2,0.05,12,0.2,21,54,41,1,0.295566502463054,11.0642857142857
0.05-12-0,0.05,12,0,22,55,41,1,0.277777777777778,12.0194805194805
0.05-16-0.8,0.05,16,0.8,17,51,40,1,0.35,5.71323529411765
0.05-16-0.75,0.05,16,0.75,25,66,50,1,0.26530612244898,10.4633333333333
0.05-16-0.7,0.05,16,0.7,26,68,52,1,0.25077399380805,11.3984615384615
0.05-16-0.65,0.05,16,0.65,26,68,52,1,0.25077399380805,11.3984615384615
0.05-16-0.2,0.05,16,0.2,26,68,52,1,0.25077399380805,11.3984615384615
0.05-16-0,0.05,16,0,27,69,52,1,0.237536656891496,12.3447293447293
0.05-20-0.8,0.05,20,0.8,21,63,49,1,0.349397590361446,7.59761904761905
0.05-20-0.75,0.05,20,0.75,30,80,61,1,0.26984126984127,13.8425287356322
0.05-20-0.7,0.05,20,0.7,31,82,63,1,0.25609756097561,14.7774193548387
0.05-20-0.65,0.05,20,0.65,32,83,64,1,0.247641509433962,15.7258064516129
0.05-20-0.2,0.05,20,0.2,32,83,64,1,0.247641509433962,15.7258064516129
0.05-20-0,0.05,20,0,33,84,64,1,0.237020316027088,16.6732954545455
0.05-24-0.85,0.05,24,0.85,20,69,44,1,0.405144694533762,6.61578947368421
0.05-24-0.8,0.05,24,0.8,26,90,62,1,0.34304932735426,9.36923076923077
0.05-24-0.75,0.05,24,0.75,37,114,77,1,0.274809160305344,16.5608108108108
0.05-24-0.7,0.05,24,0.7,38,117,79,1,0.263829787234043,17.5135135135135
0.05-24-0.65,0.05,24,0.65,40,121,83,1,0.255405405405405,19.4032051282051
0.05-24-0.2,0.05,24,0.2,41,122,84,1,0.24934036939314,20.3701219512195
0.05-24-0,0.05,24,0,42,123,84,1,0.242618741976893,21.3373983739837
0.05-28-0.75,0.05,28,0.75,43,131,83,1,0.263157894736842,18.3410852713178
0.05-28-0.7,0.05,28,0.7,45,135,86,1,0.248275862068966,19.889898989899
0.05-28-0.65,0.05,28,0.65,47,139,90,1,0.240659340659341,20.9629972247919
0.05-28-0.2,0.05,28,0.2,49,141,92,1,0.230283911671924,22.8818027210884
0.05-28-0,0.05,28,0,50,142,92,1,0.224845995893224,23.8420408163265
0.05-32-0.8,0.05,32,0.8,35,119,76,1,0.287373004354136,13.9235294117647
0.05-32-0.75,0.05,32,0.75,49,148,89,1,0.24332977588047,21.2465986394558
0.05-32-0.7,0.05,32,0.7,51,152,92,1,0.230997038499506,22.7937254901961
0.05-32-0.65,0.05,32,0.65,53,156,96,1,0.224431818181818,23.8642960812772
0.05-32-0.6,0.05,32,0.6,55,158,98,1,0.21565059144677,25.7946127946128
0.05-32-0.2,0.05,32,0.2,56,159,99,1,0.212938005390836,26.7720779220779
0.05-32-0,0.05,32,0,57,160,99,1,0.20844327176781,27.7387218045113
0.05-36-0.85,0.05,36,0.85,32,113,60,1,0.283185840707965,11.304435483871
0.05-36-0.8,0.05,36,0.8,42,149,87,1,0.240506329113924,10.9488966318235
0.05-36-0.75,0.05,36,0.75,57,182,102,1,0.209134615384615,18.7844611528822
0.05-36-0.7,0.05,36,0.7,60,187,105,1,0.198513011152416,21.3768361581921
0.05-36-0.65,0.05,36,0.65,62,191,109,1,0.194104960460101,22.3754627181386
0.05-36-0.6,0.05,36,0.6,65,194,112,1,0.184300341296928,25.2197115384615
0.05-36-0.2,0.05,36,0.2,66,195,113,1,0.182432432432432,26.1780885780886
0.05-36-0,0.05,36,0,67,196,113,1,0.178807947019868,27.1284486657621
0.05-40-0.8,0.05,40,0.8,54,189,109,1,0.213949843260188,13.0632424877708
0.05-40-0.75,0.05,40,0.75,66,219,127,1,0.19786432160804,18.8172494172494
0.05-40-0.7,0.05,40,0.7,68,224,130,1,0.191943127962085,20.7109306409131
0.05-40-0.65,0.05,40,0.65,70,228,134,1,0.188364055299539,21.7026915113872
0.05-40-0.6,0.05,40,0.6,73,231,137,1,0.180066079295154,24.5494672754947
0.05-40-0.55,0.05,40,0.55,74,232,138,1,0.178590933915893,25.5092558311736
0.05-40-0.2,0.05,40,0.2,74,232,138,1,0.178590933915893,25.5092558311736
0.05-40-0,0.05,40,0,75,233,138,1,0.175335120643432,26.46
0.05-44-0.85,0.05,44,0.85,42,147,77,1,0.253333333333333,14.3269454123113
0.05-44-0.8,0.05,44,0.8,62,223,132,1,0.203976908274535,12.4206768905341
0.05-44-0.75,0.05,44,0.75,73,251,149,1,0.190577024880889,17.2880517503805
0.05-44-0.7,0.05,44,0.7,76,257,152,1,0.184869739478958,20.1668421052632
0.05-44-0.65,0.05,44,0.65,78,261,156,1,0.181729360039082,21.1618381618382
0.05-44-0.6,0.05,44,0.6,81,264,159,1,0.174320524835989,24.041975308642
0.05-44-0.55,0.05,44,0.55,82,265,160,1,0.173103769194974,25.0117434507678
0.05-44-0.2,0.05,44,0.2,82,265,160,1,0.173103769194974,25.0117434507678
0.05-44-0,0.05,44,0,83,266,160,1,0.17032967032967,25.9729650308551
0.05-48-0.85,0.05,48,0.85,44,156,84,1,0.249258160237389,14.3895348837209
0.05-48-0.8,0.05,48,0.8,66,238,143,1,0.195205479452055,14.3072261072261
0.05-48-0.75,0.05,48,0.75,77,267,161,1,0.182857142857143,17.4212235133288
0.05-48-0.7,0.05,48,0.7,81,277,164,1,0.177475898334794,20.3157407407407
0.05-48-0.65,0.05,48,0.65,83,281,168,1,0.174732334047109,21.3084043491037
0.05-48-0.6,0.05,48,0.6,86,284,171,1,0.167970358172087,24.1906976744186
0.05-48-0.55,0.05,48,0.55,87,285,172,1,0.166939443535188,25.1607858861267
0.05-48-0.2,0.05,48,0.2,87,285,172,1,0.166939443535188,25.1607858861267
0.05-48-0,0.05,48,0,88,286,172,1,0.164383561643836,26.1225182863114
0.05-52-0.85,0.05,52,0.85,48,191,104,1,0.265449438202247,9.18572695035461
0.05-52-0.8,0.05,52,0.8,68,272,164,1,0.211842105263158,11.4409569798068
0.05-52-0.75,0.05,52,0.75,84,313,192,1,0.191096634093377,16.5856282271945
0.05-52-0.7,0.05,52,0.7,89,327,198,1,0.183981233243968,19.5414964249234
0.05-52-0.65,0.05,52,0.65,91,331,202,1,0.181340341655716,20.5346764346764
0.05-52-0.6,0.05,52,0.6,94,335,206,1,0.175577348940209,22.484214138641
0.05-52-0.55,0.05,52,0.55,95,336,207,1,0.174748110831234,23.4650615901456
0.05-52-0.45,0.05,52,0.45,95,336,207,1,0.174748110831234,23.4650615901456
0.05-52-0.2,0.05,52,0.2,96,337,208,1,0.174528301886792,24.4512061403509
0.05-52-0,0.05,52,0,97,338,208,1,0.172360248447205,25.4236469072165
0.05-56-0.85,0.05,56,0.85,48,191,104,1,0.265449438202247,9.18572695035461
