,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,AvgDist.mean,AvgDist.sd
0.05-4-0.85,0.05,4,0.85,3,9,5,1,1,1,FALSE,0.05-4-0.85,0.0186864752779199,0.000129631736534542
0.14-4-0.8,0.14,4,0.8,4,10,6,1,0.6,1.91666666666667,FALSE,0.14-4-0.8,0.0311894621707604,0.00019585362953384
0.16-4-0.85,0.16,4,0.85,4,12,6,1,0.75,1.25,FALSE,0.16-4-0.85,0.0322543721032483,0.000153987267266609
0.14-4-0,0.14,4,0,5,13,7,1,0.6,2.15,FALSE,0.14-4-0,0.0400402289933429,0.000311615015222963
0.05-4-0.75,0.05,4,0.75,6,14,8,1,0.5,3.06666666666667,FALSE,0.05-4-0.75,0.0367118205926565,0.000440986189713746
0.16-8-0.7,0.16,8,0.7,9,18,11,1,0.285714285714286,5.66666666666667,FALSE,0.16-8-0.7,0.0238657229049051,8.28603336840395e-05
0.12-12-0.85,0.12,12,0.85,9,31,20,1,0.582089552238806,2.58333333333333,FALSE,0.12-12-0.85,0.049674338310476,0.000179471874340199
0.14-8-0,0.14,8,0,10,19,11,1,0.230769230769231,6.6,FALSE,0.14-8-0,0.0140851072152618,0.00018094260198643
0.1-12-0.85,0.1,12,0.85,10,33,22,1,0.531645569620253,2.71111111111111,FALSE,0.1-12-0.85,0.0472809934009332,0.000612759937194926
0.05-8-0.75,0.05,8,0.75,11,20,12,1,0.214285714285714,7.56363636363636,FALSE,0.05-8-0.75,0.0153647991929832,0.000255071106677137
0.2-8-0,0.2,8,0,11,21,11,1,0.206896551724138,6.78181818181818,FALSE,0.2-8-0,0.0161695534114857,0.000169692139058441
0.05-12-0.85,0.05,12,0.85,11,36,25,1,0.505263157894737,3.53636363636364,FALSE,0.05-12-0.85,0.0467372668700095,0.00062355511114634
0.12-8-0,0.12,8,0,12,21,13,1,0.176470588235294,8.03030303030303,FALSE,0.12-8-0,0.0185949939340931,0.000209379658186572
0.05-8-0.65,0.05,8,0.65,12,22,14,1,0.236842105263158,7.73484848484848,FALSE,0.05-8-0.65,0.0169065685763164,0.000164115004518429
0.07-12-0.85,0.07,12,0.85,12,39,26,1,0.485714285714286,3.62878787878788,FALSE,0.07-12-0.85,0.047608481248528,0.000595643079520776
0.2-12-0.8,0.2,12,0.8,12,39,28,1,0.459459459459459,3.66666666666667,FALSE,0.2-12-0.8,0.050175399097808,0.000498793518441143
0.06-12-0.8,0.06,12,0.8,13,40,29,1,0.432432432432432,5.33974358974359,FALSE,0.06-12-0.8,0.044706484835096,0.000472842702836067
0.08-16-0.85,0.08,16,0.85,13,41,28,1,0.461538461538462,3.74358974358974,FALSE,0.08-16-0.85,0.0466394316366886,0.000629488243491603
0.14-12-0.8,0.14,12,0.8,13,41,30,1,0.428571428571429,3.79487179487179,FALSE,0.14-12-0.8,0.0502537941392825,0.000384322155222247
0.05-12-0.8,0.05,12,0.8,14,41,30,1,0.403361344537815,6.25824175824176,FALSE,0.05-12-0.8,0.0462564489079558,0.000205225775987451
0.1-12-0.8,0.1,12,0.8,14,42,29,1,0.421487603305785,5.44505494505495,FALSE,0.1-12-0.8,0.0470367391809706,0.000323486552407734
0.07-12-0.8,0.07,12,0.8,14,43,30,1,0.421487603305785,5.43406593406593,FALSE,0.07-12-0.8,0.0464365413418695,0.000550838043760971
0.14-16-0.8,0.14,16,0.8,14,44,33,1,0.403361344537815,3.87362637362637,FALSE,0.14-16-0.8,0.0311951099480845,0.000125593698336205
0.16-12-0.8,0.16,12,0.8,15,46,33,1,0.387755102040816,4.7,FALSE,0.16-12-0.8,0.0492712074307224,0.000368248948303448
0.09-16-0.8,0.09,16,0.8,15,48,35,1,0.401408450704225,5.50952380952381,FALSE,0.09-16-0.8,0.046043737863925,0.000347852768202725
0.18-12-0.8,0.18,12,0.8,16,47,34,1,0.401408450704225,6.38333333333333,FALSE,0.18-12-0.8,0.047281651138718,0.000171679442338583
0.06-16-0.8,0.06,16,0.8,16,51,38,1,0.386503067484663,4.8,FALSE,0.06-16-0.8,0.0451267414839823,0.000495569385216579
0.05-16-0.8,0.05,16,0.8,17,51,40,1,0.35,5.71323529411765,FALSE,0.05-16-0.8,0.043211330065586,0.000383710581379299
