,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI,idxAccuracy,idxFlexibility,idxBoth
0.09-32-0.85,0.09,32,0.85,29,102,53,1,0.313513513513514,9.63177339901478,FALSE,0.09-32-0.85,0.2443,0.6838,0.9281,0.162767576150746,-0.186335216474325,0.319476870477701,0.00885341842159786,0.0371818481021731,0.0539,0.0150266655378143,0.000368029714239091,36,41,77
0.07-32-0.75,0.07,32,0.75,52,165,87,1,0.23224043715847,19.4898190045249,FALSE,0.07-32-0.75,0.2521,0.6911,0.9432,0.155879050614709,-0.184361304753515,0.330226317450419,0.00610895397262166,0.0279914996014251,0.0539,0.0150266655378143,0.000529118752793779,5,98,103
0.07-32-0,0.07,32,0,58,176,97,1,0.210526315789474,24.3142770719903,FALSE,0.07-32-0,0.2515,0.6956,0.9471,0.157932868825776,-0.184521808816099,0.336891158318541,0.0063914639792717,0.0274568770446423,0.0539,0.0150266655378143,0.000529118752793779,1,106,107
0.08-28-0.55,0.08,28,0.55,53,168,92,1,0.2265625,20.47206095791,FALSE,0.08-28-0.55,0.2565,0.6888,0.9453,0.151273396282294,-0.183140858782966,0.326831146576403,0.00633457451422616,0.0269610325288713,0.0384,0.0150266655378143,0.000529118752793779,4,111,115
0.16-28-0.85,0.16,28,0.85,22,75,42,1,0.366847826086957,8.3961038961039,FALSE,0.16-28-0.85,0.2582,0.6605,0.9187,0.146531879823265,-0.182649036723421,0.285692475395199,0.0093184319838666,0.0485613499884484,0.0307,0.0150266655378143,0.000529118752793779,93,25,118
0.08-32-0.4,0.08,32,0.4,61,187,104,1,0.205417607223476,23.1677595628415,FALSE,0.08-32-0.4,0.2562,0.686,0.9422,0.150680873032189,-0.183226483441098,0.322708263463833,0.00743363775686367,0.0249953468489089,0.0539,0.0232355221300251,0.000380318688013639,6,142,148
0.06-32-0.25,0.06,32,0.25,60,181,101,1,0.207362885048835,26.2189265536723,FALSE,0.06-32-0.25,0.2437,0.7032,0.9469,0.167521428641335,-0.186476840389898,0.348213338012107,0.00663726850936456,0.0246317037942386,0.0539,0.0150266655378143,0.000529118752793779,2,154,156
0.08-28-0.85,0.08,28,0.85,32,110,60,1,0.307570977917981,11.5252016129032,FALSE,0.08-28-0.85,0.2195,0.6973,0.9168,0.194927574438273,-0.190915805998438,0.339416573490216,0.00899288779102544,0.0319601901779685,0.0307,0.0150266655378143,0.000529118752793779,101,58,159
0.07-44-0.85,0.07,44,0.85,39,145,78,1,0.268370607028754,10.8211875843455,FALSE,0.07-44-0.85,0.2395,0.6798,0.9193,0.168762833204205,-0.187426639980864,0.313619760449882,0.0070016784024434,0.0298421115194556,0.0955,0.0276536229926187,0.000316202811251682,86,83,169
0.06-56-0.85,0.06,56,0.85,45,200,110,1,0.284499672988882,9.08737373737374,FALSE,0.06-56-0.85,0.2272,0.7016,0.9288,0.184684200271673,-0.189779575462132,0.345822865360069,0.0063336570905129,0.0250911816944395,0.1292,0.0572970059694907,0.000285466116040691,31,140,171
0.07-36-0.85,0.07,36,0.85,32,108,55,1,0.283018867924528,11.5625,FALSE,0.07-36-0.85,0.2113,0.7049,0.9162,0.20629244412972,-0.191828533727631,0.350757203927334,0.00804114031869969,0.0312901293376296,0.0676,0.0150266655378143,0.000368029714239091,105,68,173
0.09-32-0.75,0.09,32,0.75,56,178,98,1,0.218051118210863,17.7243506493507,FALSE,0.09-32-0.75,0.2479,0.6853,0.9332,0.15883448542955,-0.185454653136451,0.321679326581838,0.00744125631606278,0.0240042316867955,0.0539,0.0250894592014592,0.000368029714239091,17,166,183
0.09-28-0.7,0.09,28,0.7,51,162,88,1,0.235186873290793,16.921568627451,FALSE,0.09-28-0.7,0.2486,0.672,0.9206,0.157583364742969,-0.185277337636146,0.302266219535761,0.00727108092442388,0.0273648114271117,0.0384,0.0195625049071276,0.000529118752793779,78,107,185
0.09-28-0.85,0.09,28,0.85,28,99,51,1,0.319391634980989,9.58730158730159,FALSE,0.09-28-0.85,0.2319,0.6796,0.9115,0.179219949425686,-0.188957191605599,0.313327521629452,0.00860884572878805,0.0312203073909171,0.0307,0.0150266655378143,0.000529118752793779,129,70,199
0.05-60-0.85,0.05,60,0.85,53,230,127,1,0.263271939328277,9.33526850507983,FALSE,0.05-60-0.85,0.2268,0.6986,0.9254,0.184993978073363,-0.189845104171751,0.34135057036517,0.00644493540977947,0.0248672646931927,0.1481,0.0572970059694907,0.000316202811251682,52,147,199
0.07-40-0.85,0.07,40,0.85,35,121,64,1,0.271621621621622,11.6647058823529,FALSE,0.07-40-0.85,0.2267,0.685,0.9117,0.185903087922472,-0.189861376168434,0.321238572472095,0.00799530877995075,0.0308978746971515,0.0815,0.0150266655378143,0.000362295738952264,128,73,201
0.09-32-0.7,0.09,32,0.7,57,181,100,1,0.212328767123288,18.6694862155388,FALSE,0.09-32-0.7,0.2441,0.6851,0.9292,0.163084019643137,-0.186382588358259,0.321385475912977,0.00753002672929179,0.0236751126729142,0.0539,0.0250894592014592,0.000368029714239091,29,174,203
0.12-24-0.65,0.12,24,0.65,47,139,80,1,0.230263157894737,18.3209990749306,FALSE,0.12-24-0.65,0.2192,0.6938,0.913,0.195699799003987,-0.190954668129123,0.334221717999669,0.00833750125026226,0.0294237255274127,0.0269,0.0150266655378143,0.000529118752793779,120,87,207
0.09-28-0.75,0.09,28,0.75,50,159,86,1,0.242540904716073,15.9689795918367,FALSE,0.09-28-0.75,0.2462,0.6727,0.9189,0.160586113103263,-0.185877036255517,0.303281444637919,0.00722854184138664,0.0265080235065282,0.0384,0.0195625049071276,0.000529118752793779,91,116,207
0.08-32-0.3,0.08,32,0.3,62,188,105,1,0.201923076923077,24.132469592808,FALSE,0.08-32-0.3,0.2518,0.6845,0.9363,0.154596163438361,-0.184441735498114,0.320504274288429,0.00741272902910635,0.0223667182039913,0.0539,0.0232355221300251,0.000380318688013639,12,199,211
0.09-36-0.7,0.09,36,0.7,64,212,120,1,0.196897374701671,17.0416666666667,FALSE,0.09-36-0.7,0.2061,0.7132,0.9193,0.213562457228911,-0.192243201651714,0.363235946145438,0.00762378073323091,0.0260726646688292,0.0676,0.0276536229926187,0.000345293524220398,87,126,213
0.08-28-0.7,0.08,28,0.7,50,158,85,1,0.235023041474654,18.7208163265306,FALSE,0.08-28-0.7,0.2489,0.6883,0.9372,0.158271495935497,-0.185200741575733,0.3260940813281,0.00641071209442096,0.0221504776834812,0.0384,0.0150266655378143,0.000529118752793779,11,206,217
0.08-32-0.55,0.08,32,0.55,59,184,101,1,0.210485736314572,21.33284628872,FALSE,0.08-32-0.55,0.2413,0.6987,0.94,0.168337615645063,-0.187028527226118,0.341499439613378,0.00726820879113711,0.0219207591322495,0.0539,0.0232355221300251,0.000380318688013639,7,215,222
0.09-32-0.45,0.09,32,0.45,61,192,108,1,0.202127659574468,21.3795081967213,FALSE,0.09-32-0.45,0.2401,0.6905,0.9306,0.16818423727445,-0.187295433860253,0.329339881712672,0.00777552260566602,0.0221466447599836,0.0539,0.0250894592014592,0.000368029714239091,23,207,230
0.09-28-0.45,0.09,28,0.45,55,173,96,1,0.223161453930685,19.6360269360269,FALSE,0.09-28-0.45,0.2484,0.6777,0.9261,0.157703561276642,-0.185328200577044,0.310554190836893,0.00752756855291469,0.0228490167512473,0.0384,0.0195625049071276,0.000529118752793779,49,185,234
0.06-32-0.4,0.06,32,0.4,59,180,100,1,0.210847975553858,25.239918176505,FALSE,0.06-32-0.4,0.2458,0.7006,0.9464,0.164697704510463,-0.185974717580202,0.344330672333218,0.00638867415429894,0.0210905917099603,0.0539,0.0150266655378143,0.000529118752793779,3,233,236
0.12-24-0,0.12,24,0,48,140,81,1,0.225321888412017,19.2734929078014,FALSE,0.12-24-0,0.2143,0.691,0.9053,0.203652123084277,-0.19153088464107,0.330078541974361,0.0084990109865341,0.0299305078296156,0.0269,0.0150266655378143,0.000529118752793779,158,82,240
0.2-28-0.75,0.2,28,0.75,49,160,92,1,0.221441124780316,13.1892006802721,FALSE,0.2-28-0.75,0.2487,0.6648,0.9135,0.158247368041338,-0.185251845819709,0.291866362824304,0.00740021909810371,0.0263251685722155,0.0384,0.0264514862575436,0.000341434044150293,118,122,240
0.07-36-0.75,0.07,36,0.75,60,197,108,1,0.201716738197425,15.8988700564972,FALSE,0.07-36-0.75,0.2129,0.7109,0.9238,0.203917009528563,-0.191675049925364,0.359768258500664,0.00764978680455001,0.0231949261816894,0.0676,0.0250553139768422,0.000368029714239091,59,181,240
0.12-28-0.7,0.12,28,0.7,53,167,92,1,0.218321917808219,18.2728592162554,FALSE,0.12-28-0.7,0.2357,0.6779,0.9136,0.174096538229609,-0.188222549279905,0.310845869804283,0.00787714339165463,0.0256596294540562,0.0384,0.0250553139768422,0.000380318688013639,117,131,248
0.1-32-0.45,0.1,32,0.45,61,188,106,1,0.20479302832244,22.3745901639344,FALSE,0.1-32-0.45,0.2333,0.6901,0.9234,0.176468389867362,-0.188693724742429,0.328749214171423,0.00791506676084179,0.0224804707686182,0.0539,0.0250894592014592,0.000368029714239091,62,194,256
0.16-28-0.75,0.16,28,0.75,49,154,85,1,0.228789323164919,16.5518707482993,FALSE,0.16-28-0.75,0.2453,0.6634,0.9087,0.163186102400822,-0.186095903733035,0.289853197632814,0.00780691202597986,0.0264525682692309,0.0384,0.0264514862575436,0.000380318688013639,144,120,264
0.08-36-0.7,0.08,36,0.7,63,207,115,1,0.193548387096774,17.026113671275,FALSE,0.08-36-0.7,0.2083,0.7193,0.9276,0.210718806446373,-0.19208358791409,0.372468715991637,0.00712186050603503,0.0212805911691465,0.0676,0.0264514862575436,0.000345691799774348,40,228,268
0.08-36-0.3,0.08,36,0.3,70,226,130,1,0.181868743047831,18.1395445134576,FALSE,0.08-36-0.3,0.2055,0.729,0.9345,0.215856558254335,-0.192282667464823,0.387256692478605,0.00726636479846311,0.0203571832796625,0.0676,0.0264514862575436,0.000345691799774348,14,259,273
0.16-24-0.85,0.16,24,0.85,20,67,39,1,0.394463667820069,7.42631578947368,FALSE,0.16-24-0.85,0.2457,0.6409,0.8866,0.170305272493635,-0.185999036244009,0.257908427163682,0.0107460752586802,0.0536867370568881,0.0251,0.0150266655378143,0.000529118752793779,251,23,274
0.08-44-0.65,0.08,44,0.65,84,279,162,1,0.183196721311475,23.0738668961561,FALSE,0.08-44-0.65,0.1975,0.7408,0.9383,0.228764054629872,-0.192639432118892,0.405420034517196,0.00645569236953369,0.0202338821370356,0.1008,0.0399285227251932,0.000285466116040691,9,266,275
0.06-36-0.65,0.06,36,0.65,63,201,113,1,0.195121951219512,19.6310803891449,FALSE,0.06-36-0.65,0.2089,0.7061,0.915,0.209769894436786,-0.192036013863815,0.352555343005914,0.00780368274755434,0.02397125083876,0.0676,0.0232355221300251,0.000411611379878998,112,167,279
0.1-44-0.75,0.1,44,0.75,78,300,174,1,0.19304152637486,15.3488178488178,FALSE,0.1-44-0.75,0.2144,0.714,0.9284,0.202126537661487,-0.191520236434078,0.364443838233681,0.00673374385177097,0.0206252839033174,0.1008,0.0572970059694907,0.000284499001936455,34,251,285
0.05-32-0.2,0.05,32,0.2,56,159,99,1,0.212938005390836,26.7720779220779,FALSE,0.05-32-0.2,0.2075,0.7062,0.9137,0.211874649461246,-0.192144330685164,0.352705280031923,0.00939565317168324,0.0238687705977078,0.0539,0.0128130170774555,0.000636856831064011,116,170,286
0.09-36-0.75,0.09,36,0.75,61,206,116,1,0.20532319391635,14.1887978142076,FALSE,0.09-36-0.75,0.2086,0.7067,0.9153,0.210172430719215,-0.1920600166129,0.353455177526295,0.00778129960204963,0.0235109531772925,0.0676,0.0276536229926187,0.000362295738952264,109,177,286
0.06-32-0.8,0.06,32,0.8,41,139,76,1,0.268551236749117,14.5493902439024,FALSE,0.06-32-0.8,0.2307,0.6767,0.9074,0.181504599906505,-0.189176295206011,0.309096681696085,0.00725994340284249,0.0254091160691247,0.0539,0.0150266655378143,0.000529118752793779,151,136,287
0.1-44-0.7,0.1,44,0.7,81,309,181,1,0.186434659090909,16.350462962963,FALSE,0.1-44-0.7,0.2071,0.721,0.9281,0.212503395137608,-0.192173546185264,0.375051019175501,0.00667756364554088,0.0205708095345094,0.1008,0.0572970059694907,0.000284499001936455,37,253,290
0.08-44-0.85,0.08,44,0.85,42,161,91,1,0.265927977839335,9.13008130081301,FALSE,0.08-44-0.85,0.2194,0.69,0.9094,0.19594863416391,-0.19092880562778,0.328601583507496,0.00774667720556085,0.024724288257351,0.0955,0.0276536229926187,0.000316202811251682,140,151,291
0.05-40-0,0.05,40,0,75,233,138,1,0.175335120643432,26.46,FALSE,0.05-40-0,0.2093,0.7131,0.9224,0.208976446450032,-0.192003340127854,0.363085022709682,0.0073766192997909,0.0214964608587287,0.0872,0.0232355221300251,0.000529118752793779,68,224,292
0.12-32-0.8,0.12,32,0.8,45,153,85,1,0.249249249249249,9.4510101010101,FALSE,0.12-32-0.8,0.2292,0.6668,0.896,0.186546470688816,-0.189441393216422,0.294747425885441,0.00833127370696361,0.0290374485789482,0.0539,0.0264514862575436,0.000362295738952264,206,88,294
0.09-52-0.85,0.09,52,0.85,46,202,115,1,0.263935527199463,9.96570048309179,FALSE,0.09-52-0.85,0.1799,0.7169,0.8968,0.256384567664786,-0.192263982460797,0.368829953708985,0.00906092464497672,0.0282466506220149,0.1256,0.111941181489358,0.000220801774389674,200,94,294
0.09-48-0.7,0.09,48,0.7,87,332,196,1,0.177219321148825,19.1232290831329,FALSE,0.09-48-0.7,0.2024,0.7266,0.929,0.219487915274094,-0.1924585525527,0.383585728286229,0.00676264286225977,0.0201084647581511,0.1118,0.0850422872908485,0.000284499001936455,30,271,301
0.06-36-0.25,0.06,36,0.25,66,204,116,1,0.18860510805501,22.4764568764569,FALSE,0.06-36-0.25,0.2103,0.7126,0.9229,0.207564512297699,-0.191918314492575,0.362330615919429,0.00801215478854344,0.0209799116259116,0.0676,0.0232355221300251,0.000411611379878998,65,237,302
0.08-36-0.85,0.08,36,0.85,38,136,76,1,0.267981438515081,10.0334281650071,FALSE,0.08-36-0.85,0.2115,0.6794,0.8909,0.211672729551373,-0.191810008943214,0.313035341667175,0.00890694746791257,0.0302114994991019,0.0676,0.0264514862575436,0.000362295738952264,228,79,307
0.12-24-0.75,0.12,24,0.75,43,131,73,1,0.250311332503113,15.4102990033223,FALSE,0.12-24-0.75,0.2185,0.6784,0.8969,0.200172877870119,-0.191043748745435,0.311575325334864,0.00805527762516155,0.0271481317484501,0.0269,0.0150266655378143,0.000529118752793779,199,108,307
0.08-40-0.3,0.08,40,0.3,78,253,149,1,0.181083650190114,21.1143856143856,FALSE,0.08-40-0.3,0.1943,0.7374,0.9317,0.232109233340272,-0.192692120415998,0.400167119757049,0.00711777686520459,0.0195059381053578,0.0872,0.0285977388220833,0.000316202811251682,20,288,308
0.07-44-0,0.07,44,0,86,284,169,1,0.181257706535142,21.4757865937073,FALSE,0.07-44-0,0.1917,0.7427,0.9344,0.236680617312751,-0.192696162149852,0.408362288194852,0.00679357874848943,0.0194430776644554,0.1008,0.0287463778034046,0.000316202811251682,15,293,308
0.12-36-0.7,0.12,36,0.7,63,205,117,1,0.193188854489164,17.7378392217102,FALSE,0.12-36-0.7,0.2071,0.7007,0.9078,0.213225337327385,-0.192173546185264,0.344479827438835,0.00793884383336044,0.0242991651949661,0.0676,0.0285977388220833,0.000316202811251682,149,162,311
0.06-52-0.85,0.06,52,0.85,42,180,102,1,0.294072948328267,8.1068524970964,FALSE,0.06-52-0.85,0.1993,0.7117,0.911,0.224047526436269,-0.19258695554688,0.360973567949015,0.00734970132136616,0.0229923348439289,0.1256,0.0556721132650875,0.000316202811251682,132,183,315
0.06-36-0.75,0.06,36,0.75,59,193,106,1,0.209145427286357,16.7700175336061,FALSE,0.06-36-0.75,0.2171,0.7004,0.9175,0.198156379670996,-0.191215175070223,0.344032404944461,0.00755252343598682,0.0215496735785821,0.0676,0.0232355221300251,0.000411611379878998,97,222,319
0.16-40-0.85,0.16,40,0.85,31,123,68,1,0.30718085106383,9.63655913978495,FALSE,0.16-40-0.85,0.2182,0.6674,0.8856,0.20479964170968,-0.191081240071601,0.29561291538989,0.00869971151894365,0.031265576267051,0.0869,0.0572970059694907,0.000316202811251682,259,69,328
0.09-36-0.65,0.09,36,0.65,66,217,125,1,0.193325661680092,17.0997668997669,FALSE,0.09-36-0.65,0.2082,0.7148,0.923,0.210565366356639,-0.192091349029828,0.365652626680655,0.00749503784064679,0.0202374614611436,0.0676,0.0276536229926187,0.000345293524220398,64,265,329
0.08-52-0.85,0.08,52,0.85,48,213,121,1,0.270142180094787,10.0500886524823,FALSE,0.08-52-0.85,0.2108,0.7042,0.915,0.207085780843243,-0.191874017089786,0.349709232638342,0.00783747553057496,0.0216375580177016,0.1256,0.0885713474779914,0.000316202811251682,111,220,331
0.08-44-0.6,0.08,44,0.6,85,287,167,1,0.182293762575453,20.3109243697479,FALSE,0.08-44-0.6,0.1899,0.7491,0.939,0.240736498120589,-0.192678331235757,0.418308726958555,0.00650902494811953,0.0183519047072231,0.1008,0.0399285227251932,0.000285466116040691,8,323,331
0.14-60-0.85,0.14,60,0.85,59,256,143,1,0.245492371705964,12.0973115137347,FALSE,0.14-60-0.85,0.2097,0.6868,0.8965,0.212266226828461,-0.191969901938489,0.323885065922216,0.00772657919202833,0.0254424327849512,0.1481,0.309660518965291,0.000146509481060536,202,134,336
0.18-44-0.65,0.18,44,0.65,88,331,200,1,0.173704414587332,17.5231191222571,FALSE,0.18-44-0.65,0.1869,0.7316,0.9185,0.242427538182691,-0.192610617284412,0.391242485879572,0.00674501517592943,0.0208223851486943,0.1008,0.0988138312974561,0.000196856314758355,95,242,337
0.07-48-0.75,0.07,48,0.75,81,277,160,1,0.188461538461538,16.6524691358025,FALSE,0.07-48-0.75,0.1919,0.7398,0.9317,0.235810573352358,-0.192697097149234,0.40387343650237,0.00662980521697068,0.0185484032706524,0.1118,0.0399285227251932,0.000285466116040691,21,317,338
0.08-40-0.85,0.08,40,0.85,39,141,80,1,0.269189189189189,10.0452091767881,FALSE,0.08-40-0.85,0.2135,0.6814,0.8949,0.207550908043777,-0.191614388576425,0.315959787830999,0.00899751342830315,0.0254938227314413,0.0815,0.0276536229926187,0.000316202811251682,207,133,340
0.08-48-0.85,0.08,48,0.85,46,194,111,1,0.260869565217391,10.0632850241546,FALSE,0.08-48-0.85,0.2321,0.6836,0.9157,0.178411251058927,-0.188920069760271,0.319183458117149,0.00774237954767849,0.0211422239409274,0.1118,0.0572970059694907,0.000316202811251682,108,232,340
0.07-40-0.7,0.07,40,0.7,71,240,141,1,0.188284518828452,16.4649899396378,FALSE,0.07-40-0.7,0.1873,0.7362,0.9235,0.241959907014556,-0.192622411312899,0.398316889010061,0.00733095400340778,0.0199110945294957,0.0872,0.0264514862575436,0.000345293524220398,61,281,342
0.05-48-0,0.05,48,0,88,286,172,1,0.164383561643836,26.1225182863114,FALSE,0.05-48-0,0.2071,0.724,0.9311,0.212897518742089,-0.192173546185264,0.379617797024527,0.00681765785039847,0.0183571636835948,0.1118,0.0285977388220833,0.000368029714239091,22,322,344
0.14-28-0,0.14,28,0,58,174,100,1,0.197028928850665,21.2041742286751,FALSE,0.14-28-0,0.2353,0.6623,0.8976,0.17837367140154,-0.188302782351583,0.288273497327221,0.00860310728726866,0.0247170638724436,0.0384,0.0250894592014592,0.000380318688013639,194,152,346
0.09-44-0.75,0.09,44,0.75,77,301,173,1,0.193186072631973,14.3737183868763,FALSE,0.09-44-0.75,0.2143,0.708,0.9223,0.201919343060998,-0.19153088464107,0.355406565969941,0.00660525290718918,0.019966486674293,0.1,0.0572970059694907,0.000284499001936455,70,277,347
0.1-32-0.65,0.1,32,0.65,60,183,103,1,0.204996326230713,21.5754237288136,FALSE,0.1-32-0.65,0.2328,0.6874,0.9202,0.177179487179429,-0.188788787100914,0.324768279357218,0.00783606534842854,0.020190813305366,0.0539,0.0250894592014592,0.000368029714239091,80,269,349
0.12-24-0.8,0.12,24,0.8,35,118,66,1,0.294851794071763,11.6109243697479,FALSE,0.12-24-0.8,0.2352,0.6431,0.8783,0.186869073135209,-0.188322734417271,0.260997514034458,0.00844090430531155,0.033989600341594,0.0269,0.0150266655378143,0.000529118752793779,296,54,350
0.05-40-0.6,0.05,40,0.6,73,231,137,1,0.180066079295154,24.5494672754947,FALSE,0.05-40-0.6,0.206,0.7042,0.9102,0.214424153550876,-0.192249900725106,0.349709232638342,0.00788244385014009,0.021971798189493,0.0872,0.0232355221300251,0.000529118752793779,138,212,350
0.07-44-0.75,0.07,44,0.75,76,264,151,1,0.198033707865169,14.6556140350877,FALSE,0.07-44-0.75,0.2028,0.7276,0.9304,0.219091232517197,-0.192438510426563,0.385114334808477,0.0065695835378819,0.0182525992934971,0.1008,0.0285977388220833,0.000316202811251682,24,326,350
