FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,tfCount.Netact,tfCount.MARINa,tfCount.RI
0.09,32,0.85,29,102,53,15,8,12
0.07,32,0.75,52,165,87,26,19,13
0.07,32,0,58,176,97,27,22,15
0.08,28,0.55,53,168,92,23,20,14
0.16,28,0.85,22,75,42,10,7,7
0.08,32,0.4,61,187,104,28,24,16
0.06,32,0.25,60,181,101,27,23,16
0.08,28,0.85,32,110,60,15,10,10
0.07,44,0.85,39,145,78,19,14,13
0.06,56,0.85,45,200,110,27,14,14
0.07,36,0.85,32,108,55,16,11,10
0.09,32,0.75,56,178,98,27,21,16
0.09,28,0.7,51,162,88,24,18,13
0.09,28,0.85,28,99,51,13,8,10
0.05,60,0.85,53,230,127,32,17,15
0.07,40,0.85,35,121,64,17,12,12
0.09,32,0.7,57,181,100,28,21,16
0.12,24,0.65,47,139,80,20,17,14
0.09,28,0.75,50,159,86,23,18,13
0.08,32,0.3,62,188,105,28,24,17
0.09,36,0.7,64,212,120,30,23,20
0.08,28,0.7,50,158,85,23,18,13
0.08,32,0.55,59,184,101,28,22,16
0.09,32,0.45,61,192,108,28,24,17
0.09,28,0.45,55,173,96,24,21,14
0.06,32,0.4,59,180,100,27,23,15
0.12,24,0,48,140,81,20,17,15
0.2,28,0.75,49,160,92,21,17,18
0.07,36,0.75,60,197,108,29,23,16
0.12,28,0.7,53,167,92,24,19,15
0.1,32,0.45,61,188,106,28,24,17
0.16,28,0.75,49,154,85,21,19,15
0.08,36,0.7,63,207,115,30,23,19
0.08,36,0.3,70,226,130,30,28,21
0.16,24,0.85,20,67,39,8,7,7
0.08,44,0.65,84,279,162,38,31,27
0.06,36,0.65,63,201,113,30,24,16
0.1,44,0.75,78,300,174,37,29,24
0.05,32,0.2,56,159,99,27,22,12
0.09,36,0.75,61,206,116,29,23,18
0.06,32,0.8,41,139,76,21,15,10
0.1,44,0.7,81,309,181,38,31,24
0.08,44,0.85,42,161,91,22,14,15
0.05,40,0,75,233,138,34,30,18
0.12,32,0.8,45,153,85,23,15,14
0.09,52,0.85,46,202,115,28,18,14
0.09,48,0.7,87,332,196,41,33,27
0.06,36,0.25,66,204,116,30,26,17
0.08,36,0.85,38,136,76,19,12,14
0.12,24,0.75,43,131,73,19,15,13
0.08,40,0.3,78,253,149,34,30,26
0.07,44,0,86,284,169,38,33,27
0.12,36,0.7,63,205,117,30,23,21
0.06,52,0.85,42,180,102,26,13,13
0.06,36,0.75,59,193,106,29,23,14
0.16,40,0.85,31,123,68,17,12,10
0.09,36,0.65,66,217,125,30,24,21
0.08,52,0.85,48,213,121,28,18,15
0.08,44,0.6,85,287,167,38,32,27
0.14,60,0.85,59,256,143,33,25,24
0.18,44,0.65,88,331,200,38,35,31
0.07,48,0.75,81,277,160,40,30,25
0.08,40,0.85,39,141,80,20,13,15
0.08,48,0.85,46,194,111,26,16,15
0.07,40,0.7,71,240,141,34,27,20
0.05,48,0,88,286,172,41,37,22
0.14,28,0,58,174,100,24,22,17
0.09,44,0.75,77,301,173,36,29,24
0.1,32,0.65,60,183,103,28,23,17
0.12,24,0.8,35,118,66,16,12,10
0.05,40,0.6,73,231,137,34,28,18
0.07,44,0.75,76,264,151,37,28,23
0.12,44,0.4,89,328,194,38,33,30
0.07,52,0,100,378,226,44,40,33
0.07,40,0,76,248,148,34,29,23
0.2,24,0.7,40,125,73,18,13,13
0.08,40,0.8,55,196,113,28,21,15
0.06,48,0.65,88,296,178,41,34,27
0.05,52,0.85,48,191,104,28,15,14
0.06,40,0.65,71,233,137,34,28,19
0.08,28,0.8,40,134,74,18,15,10
0.05,60,0.7,104,403,242,52,40,30
0.08,40,0.7,70,232,132,34,25,23
0.2,32,0,62,192,114,28,21,23
0.1,32,0.85,27,97,51,14,7,11
0.08,40,0.6,75,247,143,34,28,25
0.1,28,0.75,50,157,85,23,18,14
0.1,48,0.65,93,341,204,41,36,30
0.05,48,0.75,77,267,161,40,30,19
0.12,44,0.65,88,326,193,38,33,29
0.09,44,0.45,89,334,198,38,35,28
0.06,60,0.85,52,227,133,31,19,14
0.2,32,0.7,54,177,104,26,18,20
0.09,40,0.65,73,241,144,34,27,24
0.18,40,0,80,282,165,34,30,28
0.14,32,0.7,61,190,109,28,23,19
0.08,44,0.75,76,260,149,37,28,23
0.2,28,0.4,57,177,103,24,20,20
0.2,40,0.75,68,256,149,31,24,24
0.16,40,0.65,78,280,164,34,30,26
0.07,44,0.7,81,276,162,38,31,24
0.1,28,0.85,26,95,50,12,7,10
0.18,28,0.75,51,164,94,22,18,17
0.05,44,0.55,82,265,160,38,33,20
0.07,44,0.6,85,283,168,38,33,26
0.1,48,0.75,83,318,187,40,31,26
0.2,60,0.85,53,242,143,28,23,23
0.2,40,0.8,50,209,123,24,19,16
0.09,48,0.4,95,355,212,41,37,31
0.1,40,0.2,76,246,149,34,29,25
0.05,32,0,57,160,99,27,23,12
0.07,52,0.4,99,377,225,44,40,32
0.16,60,0.85,52,234,136,28,23,23
0.16,32,0.4,63,190,111,28,24,20
0.05,48,0.55,87,285,172,41,36,22
0.07,48,0,92,301,181,41,36,30
0.06,40,0.3,74,237,141,34,30,20
0.14,48,0.65,93,358,220,41,38,31
0.1,48,0.7,86,327,194,41,33,26
0.07,36,0.7,63,203,113,30,25,16
0.16,24,0.75,41,126,72,17,15,13
0.1,36,0.7,63,208,118,30,23,20
0.08,48,0.8,67,269,157,34,26,19
0.06,48,0.7,84,290,173,41,32,25
0.1,28,0.65,54,165,92,24,20,15
0.09,48,0.75,81,317,186,39,31,25
0.07,52,0.85,45,198,110,25,16,14
0.09,48,0.2,96,356,213,41,37,32
0.06,28,0.4,52,158,95,23,19,13
0.12,44,0.8,60,252,147,31,21,18
0.1,36,0.75,62,205,116,29,23,20
0.2,44,0.7,80,313,188,36,31,29
0.06,44,0.3,87,289,175,38,34,26
0.18,24,0,49,141,82,21,17,15
0.2,28,0.7,50,163,94,22,17,18
0.09,28,0.8,39,130,71,20,12,10
0.05,32,0.65,53,156,96,27,20,11
0.05,36,0,67,196,113,29,28,16
0.18,40,0.8,51,214,126,24,19,17
0.09,40,0.75,66,224,130,33,25,20
0.09,40,0.7,70,235,138,34,26,22
0.07,48,0.6,91,300,180,41,36,29
0.07,60,0.85,53,229,135,30,22,15
0.16,52,0.85,44,194,112,26,19,17
0.2,40,0.7,71,263,153,32,25,25
0.07,56,0.6,104,400,239,46,42,34
0.14,24,0.7,45,135,77,20,16,13
0.16,40,0.8,55,223,130,25,22,18
0.18,60,0.85,52,239,139,29,23,22
0.07,56,0,106,404,241,46,42,36
0.05,56,0.55,102,358,220,46,42,31
0.08,44,0.5,87,292,172,38,34,27
0.2,24,0.75,39,122,71,17,13,13
0.05,44,0,83,266,160,38,34,20
0.14,40,0.75,70,261,151,33,26,23
0.07,48,0.65,90,298,178,41,35,29
0.06,40,0.55,72,234,138,34,29,19
0.07,52,0.75,87,349,203,43,33,27
0.08,40,0.5,77,252,148,34,30,25
0.08,44,0.7,80,272,156,38,29,25
0.18,40,0.65,79,281,164,34,30,27
0.14,40,0.7,74,273,160,34,28,24
0.05,44,0.6,81,264,159,38,32,20
0.12,48,0.8,64,271,164,34,25,19
0.05,40,0.55,74,232,138,34,29,18
0.16,44,0.8,60,255,154,28,25,19
0.06,48,0.55,89,298,180,41,35,27
0.12,40,0,79,272,168,34,30,27
0.05,52,0.7,89,327,198,44,35,25
0.07,40,0.8,55,199,116,27,22,14
0.12,36,0.8,48,171,96,25,16,15
0.05,32,0.6,55,158,98,27,21,12
0.08,44,0.8,61,225,132,31,23,16
0.1,36,0.8,49,174,101,24,18,14
0.05,56,0.65,98,353,215,46,39,30
0.16,36,0.8,49,186,109,22,19,16
0.18,48,0.85,40,170,99,23,17,14
0.16,36,0.85,28,105,57,15,10,10
0.1,32,0.8,44,146,83,22,16,12
0.2,48,0.85,41,175,104,23,17,15
0.12,40,0.75,69,251,150,33,26,22
0.05,44,0.85,42,147,77,24,13,10
0.06,28,0.85,23,81,44,11,6,7
0.07,36,0.8,50,172,97,24,20,12
0.06,44,0.55,85,286,172,38,33,25
0.06,28,0.65,50,156,93,23,17,13
0.2,24,0.8,30,104,62,13,11,9
0.2,36,0.8,45,179,107,21,17,14
0.18,24,0.8,31,107,64,13,11,10
0.07,56,0.4,105,403,240,46,42,35
0.06,48,0.75,79,276,165,40,29,24
0.06,52,0.7,91,346,211,44,36,28
0.05,36,0.6,65,194,112,29,26,16
0.05,44,0.7,76,257,152,38,29,18
0.09,40,0.8,50,182,105,27,17,15
0.06,44,0.7,80,278,165,38,30,23
0.12,60,0.85,57,253,148,33,23,22
0.05,56,0,104,360,221,46,44,32
0.05,52,0,97,338,208,44,40,28
0.14,36,0,69,218,129,30,27,23
0.07,52,0.6,98,374,224,44,40,31
0.18,36,0.8,47,185,111,21,17,16
0.05,48,0.85,44,156,84,26,14,12
0.06,48,0.8,60,226,134,34,23,14
0.16,32,0,64,191,112,28,24,21
0.07,28,0.85,25,85,46,12,7,7
0.09,44,0.8,60,250,145,30,21,19
0.18,24,0.7,44,133,76,20,15,13
0.14,40,0.8,56,222,128,27,21,18
0.05,32,0.7,51,152,92,27,19,10
0.16,24,0.8,33,111,64,14,12,10
0.2,28,0.8,37,132,76,17,13,11
0.05,40,0.8,54,189,109,28,22,11
0.14,36,0.7,65,211,122,30,25,21
0.1,52,0.65,97,387,238,44,40,32
0.16,44,0.85,36,152,88,20,15,11
0.05,52,0.55,95,336,207,44,39,27
0.05,60,0.55,110,412,251,52,44,32
0.14,24,0.75,44,132,75,19,16,13
0.06,44,0.75,76,268,160,37,28,22
0.12,20,0.8,24,80,53,10,8,8
0.06,44,0.65,84,284,170,38,32,25
0.09,24,0.85,22,79,46,11,5,8
0.08,52,0.8,69,293,171,37,28,19
0.16,44,0.7,83,323,194,38,33,26
0.05,60,0.2,111,413,252,52,45,33
0.05,52,0.2,96,337,208,44,39,28
0.16,44,0.75,78,308,183,35,32,25
0.2,16,0.8,17,55,39,8,7,4
0.05,36,0.2,66,195,113,29,27,16
0.14,44,0.75,80,313,186,37,31,25
0.05,36,0.85,32,113,60,18,10,8
0.06,28,0.8,31,114,70,15,10,8
0.14,52,0.85,45,196,109,27,19,18
0.2,44,0.85,37,155,89,20,15,13
0.05,56,0.2,103,359,221,46,43,32
0.05,60,0,112,414,252,52,46,33
0.18,28,0.8,39,137,79,17,13,13
0.1,24,0.85,21,76,45,10,5,8
0.08,24,0.85,25,89,55,12,7,8
0.05,60,0.6,109,411,250,52,43,32
0.18,52,0.85,48,219,129,26,20,19
