Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	115/530	1.045908014637979E-26	3.2213966850849755E-24	0	0	2.9561462135622847	176.84354543626029	EPO;ITGA2B;IL5RA;ELK1;FGF4;IGF1R;FGF7;RASSF1;CCND2;CDH1;PRKACA;SKP1;PDGFRB;F2R;PGF;BCR;MSH2;CCNE2;IL23A;CCNE1;TP53;TCF7;MGST1;PDGFA;LPAR2;KLK3;CSF2RB;HIF1A;RASGRP1;TERT;HMOX1;RALGDS;IFNA21;FGF21;FZD1;JAG2;SMAD3;JUP;FZD4;TGFB3;BRAF;GADD45G;IL4;BMP4;BMP2;CDK6;IL5;CDK2;FGF18;GNB1;MDM2;BCL2;GNAS;GNB4;IFNA5;CDKN1A;FLT3;IFNA2;GLI1;BRCA2;GLI3;BBC3;SHH;CASP8;MECOM;HRAS;NKX3-1;NCOA1;APAF1;IFNGR1;NCOA3;FOS;AXIN2;MMP9;DDB2;CCNA1;IFNG;TRAF3;RARA;RARB;BIRC5;BIRC7;MET;BIRC3;CEBPA;FH;HDAC1;LAMA4;LEF1;XIAP;RXRB;GNA11;ERBB2;E2F1;E2F2;STAT6;HES1;IL12RB1;RXRG;CDKN2B;TCF7L1;NOS2;CDKN2A;TXNRD1;VEGFB;VEGFD;PML;EPOR;VEGFA;MAPK10;RAD51;APC;IL2RB;CCDC6;FAS
Cell cycle	50/124	6.259360491890984E-25	9.639415157512116E-23	0	0	5.493539597433418	306.1579793816608	CDKN1A;MCM7;CDC14A;CDC14B;CCND2;CHEK1;SKP1;CDC25C;SMC1A;CDC25A;CDC25B;CCNA2;CCNA1;TFDP1;RBL1;DBF4;CCNE2;CCNE1;MCM3;MCM4;MCM5;MCM6;TP53;MCM2;PRKDC;HDAC1;TTK;ORC4;ORC6;CDC45;ORC1;ORC2;E2F1;E2F2;E2F4;CDKN2B;SMAD3;TGFB3;CDKN2A;PLK1;CDC7;CDC6;GADD45G;CDK7;WEE1;CDK6;CDC16;CDK2;MDM2;ATM
Epstein-Barr virus infection	56/201	8.820242809073984E-19	9.055449283982623E-17	0	0	3.7957352203559855	157.79656029124968	IFNA5;CD40;CDKN1A;IFNA2;RBPJ;PSMD8;TBK1;CCND2;CASP8;SIN3A;MAP3K7;PDIA3;USP7;CR2;SYK;APAF1;TYK2;DDB2;SAP30;NCOR2;CCNA2;CCNA1;CCNE2;OAS1;IRF3;CCNE1;TRAF3;IRF7;TP53;CD44;IRF9;TLR2;HDAC1;RELB;IRAK1;CD19;E2F1;E2F2;HES1;MAP2K6;IFNA21;LYN;IFNB1;MAPK14;MAPK12;GADD45G;MAPK13;MAPK10;MAVS;CDK6;CDK2;HLA-DPB1;MDM2;BCL2;FAS;NFKBIB
p53 signaling pathway	32/72	5.820654631735617E-18	4.481904066436425E-16	0	0	6.055101422948834	240.29742015619243	CDKN1A;CD82;EI24;THBS1;BBC3;PIDD1;CASP8;CCND2;AIFM2;ZMAT3;CHEK1;GTSE1;RPRM;RRM2;APAF1;CDKN2A;TSC2;TNFRSF10B;DDB2;GADD45G;CDK6;RRM2B;CCNE2;CCNE1;CCNG2;ADGRB1;CDK2;BCL2;MDM2;FAS;ATM;TP53
Hepatitis B	48/163	2.3437385967696243E-17	1.4437429756100886E-15	0	0	4.011969040972234	153.62711784377657	IFNA5;ATF2;CDKN1A;IFNA2;ELK1;TBK1;CASP8;IRAK1;E2F1;E2F2;PTK2B;STAT6;MAP3K7;HRAS;MAP2K6;IFNA21;SMAD3;MAP3K1;APAF1;TGFB3;IFNB1;NFATC1;BRAF;TYK2;FOS;MAPK14;MMP9;MAPK12;NFATC4;DDB2;MAPK13;CCNA2;DDB1;MAPK10;CCNA1;MAVS;CREB1;CCNE2;IRF3;CCNE1;TRAF3;CDK2;BCL2;IRF7;BIRC5;FAS;TP53;TLR2
PI3K-Akt signaling pathway	71/354	5.035565964176762E-15	2.584923861610738E-13	0	0	2.7324928031527578	89.95981247030944	IFNA5;ATF2;CDKN1A;CSF1;EPO;FLT3;IFNA2;ITGA2B;PRL;BRCA1;AREG;IGF1R;FGF4;RPTOR;FGF7;CCND2;PPP2R1B;HRAS;PDGFRB;SYK;VWF;F2R;TSC2;TSC1;PPP2R5C;PGF;CREB1;CCNE2;CCNE1;EIF4E2;TP53;MET;EPHA2;TLR2;PHLPP2;CSH1;LAMA4;LPAR2;PDGFA;THBS1;PIK3R5;NTF4;CD19;ERBB2;PCK1;PCK2;FGF21;IFNA21;NGFR;IFNB1;INSR;VEGFB;OSM;VEGFD;EPOR;VEGFA;IL4;GH2;GH1;G6PC2;CDK6;PPP2R2C;RHEB;FGF18;GNB1;CDK2;PPP2R2D;IL2RB;GNB4;MDM2;BCL2
MAPK signaling pathway	63/295	8.43721943863735E-15	3.712376553000434E-13	0	0	2.909527548145753	94.28650931657793	ATF2;CSF1;FLT3;ELK1;AREG;IGF1R;FGF4;FGF7;DUSP10;MECOM;RPS6KA2;STMN1;PRKACA;HRAS;MAP3K7;MAP3K5;PDGFRB;DAXX;DUSP1;FOS;DUSP6;PGF;CDC25B;CACNB1;MRAS;DDIT3;RAPGEF2;TP53;MET;EPHA2;SRF;PDGFA;CACNA1C;RASGRP1;CACNA1H;RELB;NTF4;MAPK7;IRAK1;MKNK1;ERBB2;MAP2K5;CACNG4;FGF21;MAP2K6;NGFR;JUND;MAP3K1;TGFB3;INSR;VEGFB;NFATC1;BRAF;VEGFD;MAPK14;MAPK12;GADD45G;VEGFA;MAPK13;MAPK10;FGF18;FAS;PTPN7
JAK-STAT signaling pathway	43/162	6.276508345039924E-14	2.4164557128403706E-12	0	0	3.6162411275944426	109.93147906777612	IFNA5;CDKN1A;CSF2;EPO;CSH1;IFNA2;MPL;IL5RA;PDGFA;CSF2RB;PRL;IL27RA;SOCS2;CCND2;STAT6;IL13RA2;IL12RB1;HRAS;IFNL3;IFNA21;PDGFRB;PIAS4;IL10;PIAS3;CISH;IL11RA;IFNGR1;IFNB1;OSM;TYK2;EPOR;GFAP;IL4;GH2;GH1;IL5;IFNG;IL23A;LEP;IL2RB;BCL2;PTPN6;IRF9
Cellular senescence	39/160	1.628776926651705E-11	5.57403659343028E-10	0	0	3.320844686648501	82.4917965786106	CDKN1A;FOXM1;KIR2DL3;ZFP36L1;CCND2;CHEK1;E2F1;E2F2;MYBL2;E2F4;HRAS;MAP2K6;CDKN2B;SMAD3;TGFB3;CDKN2A;TSC2;TSC1;NFATC1;HIPK1;MAPK14;CDC25A;MAPK12;GADD45G;NFATC4;MAPK13;CCNA2;CCNA1;CDK6;RBL1;MRAS;CCNE2;CCNE1;RHEB;CDK2;MDM2;ATM;SQSTM1;TP53
AMPK signaling pathway	33/120	1.8025492454875217E-11	5.551851676101566E-10	0	0	3.7465940054495914	92.68786622520133	PFKFB1;PFKFB4;PFKFB3;PRKAG3;IGF1R;RPTOR;PPP2R1B;HNF4A;PCK1;MAP3K7;PCK2;SREBF1;CPT1A;INSR;TSC2;TSC1;PPP2R5C;CPT1C;PRKAB1;CPT1B;CCNA2;CCNA1;G6PC2;CREB1;PPP2R2C;RHEB;SCD;LEP;PPP2R2D;ULK1;FBP1;CFTR;FBP2
Measles	35/138	5.396561675466144E-11	1.5110372691305205E-9	0	0	3.455356790269715	81.6938741423235	IFNA5;IFNA2;BBC3;CCND2;TBK1;CASP8;IRAK1;MAP3K7;IFNA21;CSNK2A1;APAF1;IFNB1;EIF2AK1;MSN;TYK2;FOS;MAPK10;MAVS;CDK6;CCNE2;OAS1;IRF3;CCNE1;TRAF3;CDK2;IL2RB;BCL2;TLR9;IRF7;FAS;CD46;TP53;IRF9;NFKBIB;TLR2
Gastric cancer	36/149	1.2744089489516215E-10	3.2709829689758284E-9	0	0	3.291699431267487	74.99600089766538	CDKN1A;TCF7;LEF1;FGF4;RXRB;FGF7;SHH;TERT;CDH1;ERBB2;E2F1;E2F2;HRAS;RXRG;FGF21;FZD1;TCF7L1;CDKN2B;SMAD3;JUP;CDX2;TGFB3;FZD4;BRAF;AXIN2;GADD45G;DDB2;CCNE2;APC;CCNE1;FGF18;CDK2;BCL2;RARB;TP53;MET
