tf,count,pathways
ARNT,7,PI3K-Akt signaling pathway(0.002);Cell cycle(0.03);MAPK signaling pathway(0.05);p53 signaling pathway(0.07);Cellular senescence(0.1);JAK-STAT signaling pathway(0.1);AMPK signaling pathway(0.4)
ATF2,7,MAPK signaling pathway(1e-09);PI3K-Akt signaling pathway(1e-04);Cellular senescence(4e-04);AMPK signaling pathway(0.02);JAK-STAT signaling pathway(0.03);p53 signaling pathway(0.1);Cell cycle(0.2)
ATM,7,p53 signaling pathway(7e-09);Cellular senescence(3e-05);MAPK signaling pathway(3e-04);PI3K-Akt signaling pathway(5e-04);Cell cycle(0.001);JAK-STAT signaling pathway(0.07);AMPK signaling pathway(0.3)
CTBP1,7,MAPK signaling pathway(0.3);PI3K-Akt signaling pathway(0.4);Cell cycle(1);p53 signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
CUX1,7,AMPK signaling pathway(0.07);PI3K-Akt signaling pathway(1);Cell cycle(1);p53 signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1)
DNMT1,7,p53 signaling pathway(0.001);Cellular senescence(0.002);Cell cycle(0.006);MAPK signaling pathway(0.2);PI3K-Akt signaling pathway(0.3);AMPK signaling pathway(1);JAK-STAT signaling pathway(1)
DNMT3A,7,p53 signaling pathway(3e-04);Cellular senescence(6e-04);Cell cycle(0.001);PI3K-Akt signaling pathway(0.04);JAK-STAT signaling pathway(0.2);MAPK signaling pathway(1);AMPK signaling pathway(1)
E2F1,7,Cellular senescence(2e-05);Cell cycle(2e-04);p53 signaling pathway(0.001);JAK-STAT signaling pathway(0.6);MAPK signaling pathway(0.6);AMPK signaling pathway(0.8);PI3K-Akt signaling pathway(0.9)
E2F2,7,Cellular senescence(0.03);Cell cycle(0.03);JAK-STAT signaling pathway(0.1);MAPK signaling pathway(0.4);p53 signaling pathway(0.4);AMPK signaling pathway(1);PI3K-Akt signaling pathway(1)
E2F4,7,Cell cycle(5e-12);Cellular senescence(2e-04);JAK-STAT signaling pathway(0.05);p53 signaling pathway(0.3);MAPK signaling pathway(0.6);AMPK signaling pathway(0.8);PI3K-Akt signaling pathway(0.8)
E2F5,7,Cellular senescence(0.002);Cell cycle(0.003);PI3K-Akt signaling pathway(1);p53 signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);AMPK signaling pathway(1)
EBF1,7,Cell cycle(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);AMPK signaling pathway(1);p53 signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1)
ELK1,7,MAPK signaling pathway(1e-06);Cellular senescence(0.006);p53 signaling pathway(0.1);PI3K-Akt signaling pathway(0.2);JAK-STAT signaling pathway(0.2);Cell cycle(1);AMPK signaling pathway(1)
ETS2,7,Cellular senescence(0.02);p53 signaling pathway(0.05);Cell cycle(0.06);PI3K-Akt signaling pathway(0.2);JAK-STAT signaling pathway(0.4);MAPK signaling pathway(0.8);AMPK signaling pathway(1)
GATA1,7,JAK-STAT signaling pathway(0.01);PI3K-Akt signaling pathway(0.2);MAPK signaling pathway(0.4);Cell cycle(1);p53 signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
HAND2,7,Cell cycle(0.6);p53 signaling pathway(1);PI3K-Akt signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1);MAPK signaling pathway(1)
HNF4A,7,JAK-STAT signaling pathway(0.1);MAPK signaling pathway(0.3);PI3K-Akt signaling pathway(0.5);Cell cycle(1);p53 signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
IRF3,7,Cell cycle(0.4);AMPK signaling pathway(0.6);Cellular senescence(0.6);JAK-STAT signaling pathway(0.7);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);p53 signaling pathway(1)
IRF7,7,JAK-STAT signaling pathway(4e-05);PI3K-Akt signaling pathway(0.005);MAPK signaling pathway(0.5);p53 signaling pathway(1);Cell cycle(1);Cellular senescence(1);AMPK signaling pathway(1)
KLF1,7,AMPK signaling pathway(0.2);Cellular senescence(0.6);JAK-STAT signaling pathway(0.6);Cell cycle(0.6);MAPK signaling pathway(0.6);PI3K-Akt signaling pathway(1);p53 signaling pathway(1)
MCM2,7,Cell cycle(3e-14);p53 signaling pathway(0.2);Cellular senescence(0.2);MAPK signaling pathway(0.3);PI3K-Akt signaling pathway(0.4);JAK-STAT signaling pathway(1);AMPK signaling pathway(1)
MCM3,7,Cell cycle(1e-12);p53 signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
MCM4,7,Cell cycle(3e-14);p53 signaling pathway(0.2);Cellular senescence(0.2);MAPK signaling pathway(0.3);PI3K-Akt signaling pathway(0.4);JAK-STAT signaling pathway(1);AMPK signaling pathway(1)
MCM5,7,Cell cycle(1e-12);p53 signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
MCM6,7,Cell cycle(9e-12);p53 signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
MECOM,7,MAPK signaling pathway(0.02);Cell cycle(0.2);PI3K-Akt signaling pathway(1);p53 signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
MTF1,7,MAPK signaling pathway(0.2);PI3K-Akt signaling pathway(0.2);JAK-STAT signaling pathway(0.6);Cell cycle(1);p53 signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
MYBL2,7,Cellular senescence(2e-04);AMPK signaling pathway(0.1);Cell cycle(0.2);PI3K-Akt signaling pathway(1);p53 signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1)
MYC,7,Cellular senescence(4e-04);Cell cycle(0.002);p53 signaling pathway(0.04);AMPK signaling pathway(0.6);MAPK signaling pathway(0.8);PI3K-Akt signaling pathway(1);JAK-STAT signaling pathway(1)
MYCN,7,Cell cycle(3e-09);Cellular senescence(4e-04);p53 signaling pathway(0.002);PI3K-Akt signaling pathway(0.007);JAK-STAT signaling pathway(0.2);MAPK signaling pathway(0.3);AMPK signaling pathway(1)
NFIC,7,AMPK signaling pathway(0.03);PI3K-Akt signaling pathway(0.03);MAPK signaling pathway(0.1);JAK-STAT signaling pathway(0.3);Cell cycle(0.5);p53 signaling pathway(0.7);Cellular senescence(1)
NFYA,7,p53 signaling pathway(0.03);MAPK signaling pathway(0.1);AMPK signaling pathway(0.3);Cellular senescence(0.3);JAK-STAT signaling pathway(0.3);Cell cycle(0.4);PI3K-Akt signaling pathway(0.5)
NR0B1,7,AMPK signaling pathway(0.2);Cell cycle(1);p53 signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1)
NR1H4,7,MAPK signaling pathway(0.4);PI3K-Akt signaling pathway(0.4);p53 signaling pathway(1);Cell cycle(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
NR5A1,7,Cell cycle(1);p53 signaling pathway(1);AMPK signaling pathway(1);PI3K-Akt signaling pathway(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1)
PAX5,7,p53 signaling pathway(0.009);PI3K-Akt signaling pathway(0.04);Cellular senescence(0.08);Cell cycle(0.1);MAPK signaling pathway(0.2);JAK-STAT signaling pathway(0.3);AMPK signaling pathway(1)
PBX1,7,p53 signaling pathway(1);PI3K-Akt signaling pathway(1);Cell cycle(1);MAPK signaling pathway(1);JAK-STAT signaling pathway(1);Cellular senescence(1);AMPK signaling pathway(1)
