,Cell cycle,p53 signaling pathway,PI3K-Akt signaling pathway,MAPK signaling pathway,JAK-STAT signaling pathway,Cellular senescence,AMPK signaling pathway
ARNT,2.8e-02,6.9e-02,2.0e-03,5.1e-02,1.1e-01,9.7e-02,3.7e-01
ATF2,2.1e-01,1.0e-01,1.1e-04,1.0e-09,3.4e-02,3.7e-04,1.7e-02
ATM,1.2e-03,6.7e-09,4.7e-04,2.7e-04,6.9e-02,2.5e-05,2.9e-01
CTBP1,1.0e+00,1.0e+00,3.6e-01,3.3e-01,1.0e+00,1.0e+00,1.0e+00
CUX1,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,6.6e-02
DNMT1,5.5e-03,1.0e-03,2.9e-01,2.4e-01,1.0e+00,2.2e-03,1.0e+00
DNMT3A,1.2e-03,3.1e-04,4.1e-02,1.0e+00,1.9e-01,5.6e-04,1.0e+00
E2F1,2.5e-04,1.3e-03,8.8e-01,6.3e-01,5.7e-01,2.0e-05,8.3e-01
E2F2,3.3e-02,4.5e-01,1.0e+00,4.3e-01,1.1e-01,3.1e-02,1.0e+00
E2F4,4.9e-12,3.4e-01,8.3e-01,6.5e-01,4.5e-02,2.2e-04,7.5e-01
E2F5,3.3e-03,1.0e+00,1.0e+00,1.0e+00,1.0e+00,2.0e-03,1.0e+00
EBF1,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
ELK1,1.0e+00,1.2e-01,1.5e-01,1.0e-06,2.0e-01,5.5e-03,1.0e+00
ETS2,6.3e-02,4.7e-02,2.3e-01,7.5e-01,4.3e-01,2.5e-02,1.0e+00
GATA1,1.0e+00,1.0e+00,2.0e-01,4.0e-01,1.3e-02,1.0e+00,1.0e+00
HAND2,6.2e-01,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
HNF4A,1.0e+00,1.0e+00,4.7e-01,2.6e-01,1.4e-01,1.0e+00,1.0e+00
IRF3,4.1e-01,1.0e+00,1.0e+00,1.0e+00,6.5e-01,6.4e-01,6.2e-01
IRF7,1.0e+00,1.0e+00,4.6e-03,4.8e-01,4.1e-05,1.0e+00,1.0e+00
KLF1,6.2e-01,1.0e+00,1.0e+00,6.4e-01,6.2e-01,5.8e-01,1.6e-01
MCM2,2.9e-14,1.8e-01,3.6e-01,3.3e-01,1.0e+00,2.2e-01,1.0e+00
MCM3,1.0e-12,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
MCM4,2.9e-14,1.8e-01,3.6e-01,3.3e-01,1.0e+00,2.2e-01,1.0e+00
MCM5,1.0e-12,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
MCM6,9.0e-12,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
MECOM,1.6e-01,1.0e+00,1.0e+00,1.7e-02,1.0e+00,1.0e+00,1.0e+00
MTF1,1.0e+00,1.0e+00,2.0e-01,1.5e-01,6.2e-01,1.0e+00,1.0e+00
MYBL2,1.6e-01,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.7e-04,1.1e-01
MYC,1.7e-03,4.2e-02,1.0e+00,7.7e-01,1.0e+00,3.6e-04,5.5e-01
MYCN,2.9e-09,2.0e-03,6.8e-03,3.1e-01,1.8e-01,4.5e-04,1.0e+00
NFIC,5.1e-01,6.8e-01,2.9e-02,1.4e-01,2.8e-01,1.0e+00,2.6e-02
NFYA,3.6e-01,3.1e-02,4.8e-01,1.0e-01,3.2e-01,3.0e-01,2.6e-01
NR0B1,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.9e-01
NR1H4,1.0e+00,1.0e+00,4.2e-01,3.8e-01,1.0e+00,1.0e+00,1.0e+00
NR5A1,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
PAX5,1.4e-01,9.0e-03,3.7e-02,2.3e-01,3.2e-01,8.2e-02,1.0e+00
PBX1,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
POU2F1,1.0e+00,1.0e+00,3.9e-02,1.0e+00,3.6e-03,4.0e-01,1.0e+00
POU3F2,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00,1.0e+00
RARA,3.0e-01,2.0e-01,8.0e-02,1.0e+00,1.0e+00,4.4e-01,4.4e-03
RB1,2.9e-15,5.8e-07,1.1e-07,4.1e-03,1.8e-01,1.5e-13,1.1e-01
RUNX1,1.5e-01,3.6e-01,1.4e-02,5.1e-02,1.9e-02,4.2e-01,1.0e+00
SMAD9,6.3e-01,1.0e+00,2.5e-01,2.0e-01,1.0e+00,6.2e-01,1.0e+00
SMARCA4,3.5e-02,1.5e-02,3.6e-01,5.4e-02,2.4e-01,2.2e-02,1.0e+00
SOS1,1.9e-01,1.2e-01,2.6e-01,1.0e+00,1.6e-01,1.5e-01,1.0e+00
STAT3,7.6e-01,7.5e-03,4.0e-04,7.3e-03,2.3e-09,4.8e-01,8.8e-03
STAT6,5.2e-01,3.7e-01,7.7e-02,2.3e-01,1.5e-09,4.3e-01,1.0e+00
TCF3,3.0e-01,3.0e-02,6.7e-01,4.0e-01,2.4e-01,2.1e-01,1.0e+00
TFDP1,6.4e-03,9.7e-02,3.3e-02,2.7e-01,4.0e-01,2.6e-04,3.2e-01
TP53,1.4e-08,4.2e-23,2.7e-04,4.6e-04,1.0e+00,2.0e-11,4.4e-01
TP73,9.3e-04,6.2e-06,3.3e-04,1.2e-01,3.4e-01,3.5e-04,1.0e+00
USF2,1.0e+00,3.1e-01,3.3e-02,7.2e-01,1.9e-01,1.0e+00,1.0e-01
