feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.05,4,12,COMB,11,1,0.0909090909090909
0.05,8,24,COMB,21,3,0.142857142857143
0.05,12,36,COMB,30,6,0.2
0.05,16,48,COMB,37,11,0.297297297297297
0.05,20,60,COMB,45,15,0.333333333333333
0.05,24,71,COMB,52,19,0.365384615384615
0.05,28,81,COMB,60,21,0.35
0.05,32,90,COMB,65,24,0.369230769230769
0.05,36,101,COMB,67,32,0.477611940298507
0.05,40,112,COMB,74,36,0.486486486486487
0.05,44,122,COMB,79,40,0.506329113924051
0.05,48,130,COMB,84,42,0.5
0.05,52,139,COMB,90,45,0.5
0.05,56,148,COMB,95,48,0.505263157894737
0.05,60,159,COMB,102,52,0.509803921568627
0.06,4,12,COMB,11,1,0.0909090909090909
0.06,8,24,COMB,20,4,0.2
0.06,12,36,COMB,30,6,0.2
0.06,16,48,COMB,39,9,0.230769230769231
0.06,20,60,COMB,47,13,0.276595744680851
0.06,24,69,COMB,53,16,0.30188679245283
0.06,28,80,COMB,60,20,0.333333333333333
0.06,32,89,COMB,62,27,0.435483870967742
0.06,36,100,COMB,67,32,0.477611940298507
0.06,40,109,COMB,72,34,0.472222222222222
0.06,44,120,COMB,79,38,0.481012658227848
0.06,48,127,COMB,85,39,0.458823529411765
0.06,52,136,COMB,90,43,0.477777777777778
0.06,56,147,COMB,96,47,0.489583333333333
0.06,60,156,COMB,102,49,0.480392156862745
0.07,4,12,COMB,11,1,0.0909090909090909
0.07,8,24,COMB,20,4,0.2
0.07,12,36,COMB,30,6,0.2
0.07,16,48,COMB,38,10,0.263157894736842
0.07,20,59,COMB,45,14,0.311111111111111
0.07,24,69,COMB,53,16,0.30188679245283
0.07,28,80,COMB,58,22,0.379310344827586
0.07,32,89,COMB,60,29,0.483333333333333
0.07,36,99,COMB,66,31,0.46969696969697
0.07,40,109,COMB,70,36,0.514285714285714
0.07,44,119,COMB,78,38,0.487179487179487
0.07,48,127,COMB,85,39,0.458823529411765
0.07,52,136,COMB,90,43,0.477777777777778
0.07,56,147,COMB,96,46,0.479166666666667
0.07,60,153,COMB,101,47,0.465346534653465
0.08,4,12,COMB,12,0,0
0.08,8,24,COMB,21,3,0.142857142857143
0.08,12,36,COMB,31,5,0.161290322580645
0.08,16,48,COMB,40,8,0.2
0.08,20,58,COMB,46,12,0.260869565217391
0.08,24,69,COMB,52,17,0.326923076923077
0.08,28,80,COMB,56,24,0.428571428571429
0.08,32,89,COMB,62,26,0.419354838709677
0.08,36,99,COMB,66,30,0.454545454545455
0.08,40,108,COMB,71,34,0.47887323943662
0.08,44,120,COMB,81,36,0.444444444444444
0.08,48,128,COMB,86,39,0.453488372093023
0.08,52,137,COMB,90,43,0.477777777777778
0.08,56,144,COMB,96,43,0.447916666666667
0.08,60,153,COMB,101,47,0.465346534653465
0.09,4,12,COMB,12,0,0
0.09,8,24,COMB,21,3,0.142857142857143
0.09,12,36,COMB,31,5,0.161290322580645
0.09,16,48,COMB,40,8,0.2
0.09,20,58,COMB,46,12,0.260869565217391
0.09,24,69,COMB,52,17,0.326923076923077
0.09,28,80,COMB,56,24,0.428571428571429
0.09,32,88,COMB,62,25,0.403225806451613
0.09,36,99,COMB,65,31,0.476923076923077
0.09,40,108,COMB,72,33,0.458333333333333
0.09,44,120,COMB,80,37,0.4625
0.09,48,128,COMB,85,39,0.458823529411765
0.09,52,135,COMB,90,41,0.455555555555556
0.09,56,142,COMB,96,41,0.427083333333333
0.09,60,150,COMB,100,45,0.45
0.1,4,12,COMB,12,0,0
0.1,8,24,COMB,21,3,0.142857142857143
0.1,12,36,COMB,31,5,0.161290322580645
0.1,16,47,COMB,40,7,0.175
0.1,20,58,COMB,47,11,0.234042553191489
0.1,24,69,COMB,52,17,0.326923076923077
0.1,28,79,COMB,56,23,0.410714285714286
0.1,32,88,COMB,62,24,0.387096774193548
0.1,36,98,COMB,65,30,0.461538461538462
0.1,40,108,COMB,73,32,0.438356164383562
0.1,44,119,COMB,80,36,0.45
0.1,48,128,COMB,85,39,0.458823529411765
0.1,52,133,COMB,89,40,0.449438202247191
0.1,56,142,COMB,94,43,0.457446808510638
0.1,60,149,COMB,98,46,0.469387755102041
0.12,4,12,COMB,12,0,0
0.12,8,24,COMB,21,3,0.142857142857143
0.12,12,36,COMB,31,5,0.161290322580645
0.12,16,47,COMB,39,8,0.205128205128205
