feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.05,4,4,MARINa,4,0,0
0.05,8,8,MARINa,7,1,0.142857142857143
0.05,12,12,MARINa,9,3,0.333333333333333
0.05,16,16,MARINa,13,3,0.230769230769231
0.05,20,20,MARINa,16,4,0.25
0.05,24,24,MARINa,18,6,0.333333333333333
0.05,28,28,MARINa,22,6,0.272727272727273
0.05,32,32,MARINa,24,8,0.333333333333333
0.05,36,36,MARINa,26,10,0.384615384615385
0.05,40,40,MARINa,30,10,0.333333333333333
0.05,44,44,MARINa,33,11,0.333333333333333
0.05,48,48,MARINa,36,12,0.333333333333333
0.05,52,52,MARINa,40,12,0.3
0.05,56,56,MARINa,43,13,0.302325581395349
0.05,60,60,MARINa,46,14,0.304347826086957
0.06,4,4,MARINa,4,0,0
0.06,8,8,MARINa,7,1,0.142857142857143
0.06,12,12,MARINa,11,1,0.0909090909090909
0.06,16,16,MARINa,15,1,0.0666666666666667
0.06,20,20,MARINa,17,3,0.176470588235294
0.06,24,24,MARINa,20,4,0.2
0.06,28,28,MARINa,23,5,0.217391304347826
0.06,32,32,MARINa,25,7,0.28
0.06,36,36,MARINa,29,7,0.241379310344828
0.06,40,40,MARINa,32,8,0.25
0.06,44,44,MARINa,35,9,0.257142857142857
0.06,48,48,MARINa,39,9,0.230769230769231
0.06,52,52,MARINa,42,10,0.238095238095238
0.06,56,56,MARINa,44,12,0.272727272727273
0.06,60,60,MARINa,48,12,0.25
0.07,4,4,MARINa,4,0,0
0.07,8,8,MARINa,7,1,0.142857142857143
0.07,12,12,MARINa,11,1,0.0909090909090909
0.07,16,16,MARINa,15,1,0.0666666666666667
0.07,20,20,MARINa,17,3,0.176470588235294
0.07,24,24,MARINa,20,4,0.2
0.07,28,28,MARINa,23,5,0.217391304347826
0.07,32,32,MARINa,25,7,0.28
0.07,36,36,MARINa,29,7,0.241379310344828
0.07,40,40,MARINa,31,9,0.290322580645161
0.07,44,44,MARINa,35,9,0.257142857142857
0.07,48,48,MARINa,39,9,0.230769230769231
0.07,52,52,MARINa,41,11,0.268292682926829
0.07,56,56,MARINa,44,12,0.272727272727273
0.07,60,60,MARINa,48,12,0.25
0.08,4,4,MARINa,4,0,0
0.08,8,8,MARINa,7,1,0.142857142857143
0.08,12,12,MARINa,11,1,0.0909090909090909
0.08,16,16,MARINa,15,1,0.0666666666666667
0.08,20,20,MARINa,17,3,0.176470588235294
0.08,24,24,MARINa,20,4,0.2
0.08,28,28,MARINa,22,6,0.272727272727273
0.08,32,32,MARINa,26,6,0.230769230769231
0.08,36,36,MARINa,29,7,0.241379310344828
0.08,40,40,MARINa,32,8,0.25
0.08,44,44,MARINa,36,8,0.222222222222222
0.08,48,48,MARINa,38,10,0.263157894736842
0.08,52,52,MARINa,41,11,0.268292682926829
0.08,56,56,MARINa,45,11,0.244444444444444
0.08,60,60,MARINa,48,12,0.25
0.09,4,4,MARINa,4,0,0
0.09,8,8,MARINa,7,1,0.142857142857143
0.09,12,12,MARINa,11,1,0.0909090909090909
0.09,16,16,MARINa,15,1,0.0666666666666667
0.09,20,20,MARINa,17,3,0.176470588235294
0.09,24,24,MARINa,20,4,0.2
0.09,28,28,MARINa,22,6,0.272727272727273
0.09,32,32,MARINa,26,6,0.230769230769231
0.09,36,36,MARINa,28,8,0.285714285714286
0.09,40,40,MARINa,32,8,0.25
0.09,44,44,MARINa,34,10,0.294117647058824
0.09,48,48,MARINa,37,11,0.297297297297297
0.09,52,52,MARINa,41,11,0.268292682926829
0.09,56,56,MARINa,45,11,0.244444444444444
0.09,60,60,MARINa,48,12,0.25
0.1,4,4,MARINa,4,0,0
0.1,8,8,MARINa,7,1,0.142857142857143
0.1,12,12,MARINa,11,1,0.0909090909090909
0.1,16,16,MARINa,15,1,0.0666666666666667
0.1,20,20,MARINa,17,3,0.176470588235294
0.1,24,24,MARINa,20,4,0.2
0.1,28,28,MARINa,22,6,0.272727272727273
0.1,32,32,MARINa,26,6,0.230769230769231
0.1,36,36,MARINa,28,8,0.285714285714286
0.1,40,40,MARINa,32,8,0.25
0.1,44,44,MARINa,34,10,0.294117647058824
0.1,48,48,MARINa,37,11,0.297297297297297
0.1,52,52,MARINa,41,11,0.268292682926829
0.1,56,56,MARINa,44,12,0.272727272727273
0.1,60,60,MARINa,48,12,0.25
0.12,4,4,MARINa,4,0,0
0.12,8,8,MARINa,7,1,0.142857142857143
0.12,12,12,MARINa,11,1,0.0909090909090909
0.12,16,16,MARINa,15,1,0.0666666666666667
0.12,20,20,MARINa,17,3,0.176470588235294
0.12,24,24,MARINa,19,5,0.263157894736842
0.12,28,28,MARINa,23,5,0.217391304347826
0.12,32,32,MARINa,25,7,0.28
0.12,36,36,MARINa,29,7,0.241379310344828
0.12,40,40,MARINa,32,8,0.25
0.12,44,44,MARINa,34,10,0.294117647058824
0.12,48,48,MARINa,38,10,0.263157894736842
0.12,52,52,MARINa,42,10,0.238095238095238
0.12,56,56,MARINa,45,11,0.244444444444444
0.12,60,60,MARINa,46,14,0.304347826086957
0.14,4,4,MARINa,4,0,0
0.14,8,8,MARINa,7,1,0.142857142857143
0.14,12,12,MARINa,11,1,0.0909090909090909
0.14,16,16,MARINa,14,2,0.142857142857143
0.14,20,20,MARINa,17,3,0.176470588235294
0.14,24,24,MARINa,19,5,0.263157894736842
0.14,28,28,MARINa,22,6,0.272727272727273
0.14,32,32,MARINa,25,7,0.28
0.14,36,36,MARINa,28,8,0.285714285714286
0.14,40,40,MARINa,30,10,0.333333333333333
0.14,44,44,MARINa,34,10,0.294117647058824
0.14,48,48,MARINa,38,10,0.263157894736842
0.14,52,52,MARINa,41,11,0.268292682926829
0.14,56,56,MARINa,43,13,0.302325581395349
0.14,60,60,MARINa,43,17,0.395348837209302
0.16,4,4,MARINa,4,0,0
0.16,8,8,MARINa,7,1,0.142857142857143
0.16,12,12,MARINa,11,1,0.0909090909090909
0.16,16,16,MARINa,14,2,0.142857142857143
0.16,20,20,MARINa,16,4,0.25
0.16,24,24,MARINa,19,5,0.263157894736842
0.16,28,28,MARINa,22,6,0.272727272727273
0.16,32,32,MARINa,25,7,0.28
