feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.05,4,4,Netact,4,0,0
0.05,8,8,Netact,7,1,0.142857142857143
0.05,12,12,Netact,11,1,0.0909090909090909
0.05,16,16,Netact,13,3,0.230769230769231
0.05,20,20,Netact,16,4,0.25
0.05,24,24,Netact,18,6,0.333333333333333
0.05,28,28,Netact,21,7,0.333333333333333
0.05,32,32,Netact,24,8,0.333333333333333
0.05,36,36,Netact,25,10,0.4
0.05,40,40,Netact,28,11,0.392857142857143
0.05,44,44,Netact,31,12,0.387096774193548
0.05,48,48,Netact,35,12,0.342857142857143
0.05,52,52,Netact,38,13,0.342105263157895
0.05,56,56,Netact,40,14,0.35
0.05,60,60,Netact,43,15,0.348837209302326
0.06,4,4,Netact,4,0,0
0.06,8,8,Netact,7,1,0.142857142857143
0.06,12,12,Netact,11,1,0.0909090909090909
0.06,16,16,Netact,13,3,0.230769230769231
0.06,20,20,Netact,16,4,0.25
0.06,24,24,Netact,18,6,0.333333333333333
0.06,28,28,Netact,21,7,0.333333333333333
0.06,32,32,Netact,24,8,0.333333333333333
0.06,36,36,Netact,25,10,0.4
0.06,40,40,Netact,28,11,0.392857142857143
0.06,44,44,Netact,31,12,0.387096774193548
0.06,48,48,Netact,35,12,0.342857142857143
0.06,52,52,Netact,38,13,0.342105263157895
0.06,56,56,Netact,40,14,0.35
0.06,60,60,Netact,43,15,0.348837209302326
0.07,4,4,Netact,4,0,0
0.07,8,8,Netact,7,1,0.142857142857143
0.07,12,12,Netact,11,1,0.0909090909090909
0.07,16,16,Netact,13,3,0.230769230769231
0.07,20,20,Netact,16,4,0.25
0.07,24,24,Netact,18,6,0.333333333333333
0.07,28,28,Netact,21,7,0.333333333333333
0.07,32,32,Netact,24,8,0.333333333333333
0.07,36,36,Netact,25,10,0.4
0.07,40,40,Netact,28,11,0.392857142857143
0.07,44,44,Netact,31,12,0.387096774193548
0.07,48,48,Netact,35,12,0.342857142857143
0.07,52,52,Netact,38,13,0.342105263157895
0.07,56,56,Netact,40,14,0.35
0.07,60,60,Netact,43,15,0.348837209302326
0.08,4,4,Netact,4,0,0
0.08,8,8,Netact,7,1,0.142857142857143
0.08,12,12,Netact,11,1,0.0909090909090909
0.08,16,16,Netact,13,3,0.230769230769231
0.08,20,20,Netact,16,4,0.25
0.08,24,24,Netact,18,6,0.333333333333333
0.08,28,28,Netact,21,7,0.333333333333333
0.08,32,32,Netact,24,8,0.333333333333333
0.08,36,36,Netact,25,10,0.4
0.08,40,40,Netact,28,11,0.392857142857143
0.08,44,44,Netact,31,12,0.387096774193548
0.08,48,48,Netact,35,12,0.342857142857143
0.08,52,52,Netact,38,13,0.342105263157895
0.08,56,56,Netact,40,14,0.35
0.08,60,60,Netact,43,15,0.348837209302326
0.09,4,4,Netact,4,0,0
0.09,8,8,Netact,7,1,0.142857142857143
0.09,12,12,Netact,11,1,0.0909090909090909
0.09,16,16,Netact,13,3,0.230769230769231
0.09,20,20,Netact,16,4,0.25
0.09,24,24,Netact,18,6,0.333333333333333
0.09,28,28,Netact,21,7,0.333333333333333
0.09,32,32,Netact,24,8,0.333333333333333
0.09,36,36,Netact,25,10,0.4
0.09,40,40,Netact,28,11,0.392857142857143
0.09,44,44,Netact,31,12,0.387096774193548
0.09,48,48,Netact,35,12,0.342857142857143
0.09,52,52,Netact,38,13,0.342105263157895
0.09,56,56,Netact,40,14,0.35
0.09,60,60,Netact,43,15,0.348837209302326
0.1,4,4,Netact,4,0,0
