feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.05,4,4,RI,3,1,0.333333333333333
0.05,8,8,RI,7,1,0.142857142857143
0.05,12,12,RI,10,2,0.2
0.05,16,16,RI,11,5,0.454545454545455
0.05,20,20,RI,13,7,0.538461538461538
0.05,24,24,RI,16,8,0.5
0.05,28,28,RI,19,9,0.473684210526316
0.05,32,32,RI,22,9,0.409090909090909
0.05,36,36,RI,22,13,0.590909090909091
0.05,40,40,RI,23,16,0.695652173913043
0.05,44,44,RI,23,19,0.826086956521739
0.05,48,48,RI,25,20,0.8
0.05,52,52,RI,26,23,0.884615384615385
0.05,56,56,RI,29,24,0.827586206896552
0.05,60,60,RI,31,26,0.838709677419355
0.06,4,4,RI,3,1,0.333333333333333
0.06,8,8,RI,6,2,0.333333333333333
0.06,12,12,RI,8,4,0.5
0.06,16,16,RI,11,5,0.454545454545455
0.06,20,20,RI,14,6,0.428571428571429
0.06,24,24,RI,17,7,0.411764705882353
0.06,28,28,RI,19,9,0.473684210526316
0.06,32,32,RI,19,13,0.684210526315789
0.06,36,36,RI,19,17,0.894736842105263
0.06,40,40,RI,21,17,0.80952380952381
0.06,44,44,RI,22,20,0.909090909090909
0.06,48,48,RI,25,21,0.84
0.06,52,52,RI,27,23,0.851851851851852
0.06,56,56,RI,29,24,0.827586206896552
0.06,60,60,RI,30,26,0.866666666666667
0.07,4,4,RI,3,1,0.333333333333333
0.07,8,8,RI,6,2,0.333333333333333
0.07,12,12,RI,8,4,0.5
0.07,16,16,RI,10,6,0.6
0.07,20,20,RI,13,7,0.538461538461538
0.07,24,24,RI,17,7,0.411764705882353
0.07,28,28,RI,17,11,0.647058823529412
0.07,32,32,RI,17,15,0.882352941176471
0.07,36,36,RI,19,16,0.842105263157895
0.07,40,40,RI,20,18,0.9
0.07,44,44,RI,22,20,0.909090909090909
0.07,48,48,RI,25,21,0.84
0.07,52,52,RI,27,22,0.814814814814815
0.07,56,56,RI,28,24,0.857142857142857
0.07,60,60,RI,32,24,0.75
0.08,4,4,RI,4,0,0
0.08,8,8,RI,7,1,0.142857142857143
0.08,12,12,RI,9,3,0.333333333333333
0.08,16,16,RI,12,4,0.333333333333333
0.08,20,20,RI,15,5,0.333333333333333
0.08,24,24,RI,17,7,0.411764705882353
0.08,28,28,RI,17,11,0.647058823529412
0.08,32,32,RI,18,13,0.722222222222222
0.08,36,36,RI,20,14,0.7
0.08,40,40,RI,21,17,0.80952380952381
0.08,44,44,RI,24,18,0.75
0.08,48,48,RI,26,19,0.730769230769231
0.08,52,52,RI,27,21,0.777777777777778
0.08,56,56,RI,31,21,0.67741935483871
0.08,60,60,RI,32,24,0.75
0.09,4,4,RI,4,0,0
0.09,8,8,RI,7,1,0.142857142857143
0.09,12,12,RI,9,3,0.333333333333333
0.09,16,16,RI,12,4,0.333333333333333
0.09,20,20,RI,15,5,0.333333333333333
0.09,24,24,RI,17,7,0.411764705882353
0.09,28,28,RI,17,11,0.647058823529412
0.09,32,32,RI,19,12,0.631578947368421
0.09,36,36,RI,20,14,0.7
0.09,40,40,RI,22,16,0.727272727272727
0.09,44,44,RI,25,17,0.68
0.09,48,48,RI,26,18,0.692307692307692
0.09,52,52,RI,29,19,0.655172413793103
0.09,56,56,RI,32,20,0.625
0.09,60,60,RI,33,23,0.696969696969697
0.1,4,4,RI,4,0,0
0.1,8,8,RI,7,1,0.142857142857143
0.1,12,12,RI,9,3,0.333333333333333
0.1,16,16,RI,13,3,0.230769230769231
0.1,20,20,RI,16,4,0.25
0.1,24,24,RI,17,7,0.411764705882353
0.1,28,28,RI,17,11,0.647058823529412
0.1,32,32,RI,19,11,0.578947368421053
0.1,36,36,RI,20,14,0.7
0.1,40,40,RI,23,15,0.652173913043478
0.1,44,44,RI,25,16,0.64
0.1,48,48,RI,26,18,0.692307692307692
0.1,52,52,RI,30,18,0.6
0.1,56,56,RI,31,21,0.67741935483871
0.1,60,60,RI,32,24,0.75
0.12,4,4,RI,4,0,0
0.12,8,8,RI,7,1,0.142857142857143
0.12,12,12,RI,9,3,0.333333333333333
0.12,16,16,RI,12,4,0.333333333333333
0.12,20,20,RI,15,5,0.333333333333333
0.12,24,24,RI,15,9,0.6
0.12,28,28,RI,16,11,0.6875
0.12,32,32,RI,18,12,0.666666666666667
0.12,36,36,RI,20,14,0.7
0.12,40,40,RI,22,15,0.681818181818182
0.12,44,44,RI,23,17,0.739130434782609
0.12,48,48,RI,27,17,0.62962962962963
0.12,52,52,RI,27,21,0.777777777777778
0.12,56,56,RI,29,23,0.793103448275862
0.12,60,60,RI,32,24,0.75
0.14,4,4,RI,4,0,0
0.14,8,8,RI,7,1,0.142857142857143
0.14,12,12,RI,9,3,0.333333333333333
0.14,16,16,RI,12,4,0.333333333333333
0.14,20,20,RI,15,5,0.333333333333333
0.14,24,24,RI,15,9,0.6
0.14,28,28,RI,16,11,0.6875
0.14,32,32,RI,18,12,0.666666666666667
0.14,36,36,RI,20,14,0.7
0.14,40,40,RI,22,15,0.681818181818182
0.14,44,44,RI,23,17,0.739130434782609
0.14,48,48,RI,27,17,0.62962962962963
0.14,52,52,RI,27,21,0.777777777777778
0.14,56,56,RI,29,23,0.793103448275862
0.14,60,60,RI,32,24,0.75
0.16,4,4,RI,4,0,0
0.16,8,8,RI,7,1,0.142857142857143
0.16,12,12,RI,9,3,0.333333333333333
0.16,16,16,RI,12,4,0.333333333333333
0.16,20,20,RI,15,5,0.333333333333333
0.16,24,24,RI,15,9,0.6
0.16,28,28,RI,16,11,0.6875
0.16,32,32,RI,18,12,0.666666666666667
0.16,36,36,RI,20,14,0.7
0.16,40,40,RI,21,16,0.761904761904762
0.16,44,44,RI,24,17,0.708333333333333
0.16,48,48,RI,26,19,0.730769230769231
0.16,52,52,RI,27,22,0.814814814814815
0.16,56,56,RI,30,23,0.766666666666667
0.16,60,60,RI,31,26,0.838709677419355
0.18,4,4,RI,4,0,0
0.18,8,8,RI,6,2,0.333333333333333
0.18,12,12,RI,9,3,0.333333333333333
0.18,16,16,RI,12,4,0.333333333333333
0.18,20,20,RI,14,6,0.428571428571429
0.18,24,24,RI,14,10,0.714285714285714
0.18,28,28,RI,17,11,0.647058823529412
0.18,32,32,RI,19,13,0.684210526315789
0.18,36,36,RI,20,15,0.75
0.18,40,40,RI,22,17,0.772727272727273
0.18,44,44,RI,25,18,0.72
0.18,48,48,RI,26,21,0.807692307692308
0.18,52,52,RI,28,23,0.821428571428571
0.18,56,56,RI,30,25,0.833333333333333
0.18,60,60,RI,31,28,0.903225806451613
0.2,4,4,RI,4,0,0
0.2,8,8,RI,7,1,0.142857142857143
0.2,12,12,RI,11,1,0.0909090909090909
0.2,16,16,RI,14,2,0.142857142857143
0.2,20,20,RI,14,6,0.428571428571429
0.2,24,24,RI,15,9,0.6
0.2,28,28,RI,17,11,0.647058823529412
0.2,32,32,RI,20,12,0.6
0.2,36,36,RI,20,15,0.75
0.2,40,40,RI,24,15,0.625
0.2,44,44,RI,24,19,0.791666666666667
0.2,48,48,RI,26,21,0.807692307692308
0.2,52,52,RI,29,22,0.758620689655172
0.2,56,56,RI,30,25,0.833333333333333
0.2,60,60,RI,33,26,0.787878787878788
