feature_ratio,no_tfs,no_tfs_actual,method,CTRL,TRTMT,TRTMT_CTRL
0.05,4,4,Netact,4,0,0
0.05,4,4,MARINa,4,0,0
0.05,4,4,RI,3,1,0.333333333333333
0.05,4,12,COMB,11,1,0.0909090909090909
0.05,8,8,Netact,7,1,0.142857142857143
0.05,8,8,MARINa,7,1,0.142857142857143
0.05,8,8,RI,7,1,0.142857142857143
0.05,8,24,COMB,21,3,0.142857142857143
0.05,12,12,Netact,11,1,0.0909090909090909
0.05,12,12,MARINa,9,3,0.333333333333333
0.05,12,12,RI,10,2,0.2
0.05,12,36,COMB,30,6,0.2
0.05,16,16,Netact,13,3,0.230769230769231
0.05,16,16,MARINa,13,3,0.230769230769231
0.05,16,16,RI,11,5,0.454545454545455
0.05,16,48,COMB,37,11,0.297297297297297
0.05,20,20,Netact,16,4,0.25
0.05,20,20,MARINa,16,4,0.25
0.05,20,20,RI,13,7,0.538461538461538
0.05,20,60,COMB,45,15,0.333333333333333
0.05,24,24,Netact,18,6,0.333333333333333
0.05,24,24,MARINa,18,6,0.333333333333333
0.05,24,24,RI,16,8,0.5
0.05,24,71,COMB,52,19,0.365384615384615
0.05,28,28,Netact,21,7,0.333333333333333
0.05,28,28,MARINa,22,6,0.272727272727273
0.05,28,28,RI,19,9,0.473684210526316
0.05,28,81,COMB,60,21,0.35
0.05,32,32,Netact,24,8,0.333333333333333
0.05,32,32,MARINa,24,8,0.333333333333333
0.05,32,32,RI,22,9,0.409090909090909
0.05,32,90,COMB,65,24,0.369230769230769
0.05,36,36,Netact,25,10,0.4
0.05,36,36,MARINa,26,10,0.384615384615385
0.05,36,36,RI,22,13,0.590909090909091
0.05,36,101,COMB,67,32,0.477611940298507
0.05,40,40,Netact,28,11,0.392857142857143
0.05,40,40,MARINa,30,10,0.333333333333333
0.05,40,40,RI,23,16,0.695652173913043
0.05,40,112,COMB,74,36,0.486486486486487
0.05,44,44,Netact,31,12,0.387096774193548
0.05,44,44,MARINa,33,11,0.333333333333333
0.05,44,44,RI,23,19,0.826086956521739
0.05,44,122,COMB,79,40,0.506329113924051
0.05,48,48,Netact,35,12,0.342857142857143
0.05,48,48,MARINa,36,12,0.333333333333333
0.05,48,48,RI,25,20,0.8
0.05,48,130,COMB,84,42,0.5
0.05,52,52,Netact,38,13,0.342105263157895
0.05,52,52,MARINa,40,12,0.3
0.05,52,52,RI,26,23,0.884615384615385
0.05,52,139,COMB,90,45,0.5
0.05,56,56,Netact,40,14,0.35
0.05,56,56,MARINa,43,13,0.302325581395349
0.05,56,56,RI,29,24,0.827586206896552
0.05,56,148,COMB,95,48,0.505263157894737
0.05,60,60,Netact,43,15,0.348837209302326
0.05,60,60,MARINa,46,14,0.304347826086957
0.05,60,60,RI,31,26,0.838709677419355
0.05,60,159,COMB,102,52,0.509803921568627
0.06,4,4,Netact,4,0,0
0.06,4,4,MARINa,4,0,0
0.06,4,4,RI,3,1,0.333333333333333
0.06,4,12,COMB,11,1,0.0909090909090909
0.06,8,8,Netact,7,1,0.142857142857143
0.06,8,8,MARINa,7,1,0.142857142857143
0.06,8,8,RI,6,2,0.333333333333333
0.06,8,24,COMB,20,4,0.2
0.06,12,12,Netact,11,1,0.0909090909090909
0.06,12,12,MARINa,11,1,0.0909090909090909
0.06,12,12,RI,8,4,0.5
0.06,12,36,COMB,30,6,0.2
0.06,16,16,Netact,13,3,0.230769230769231
